"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"34","4452-5",1449254726610,34,"subSuperTrial","distr22","convertible","target",4,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",3,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass2",2,4,NA,"vehicle",1,1,0,"sports car","","1449254725202","sports car","False","False","False","convertible",NA,NA,"","","","",""
"35","4452-5",1449254730346,35,"subSuperTrial","distr33","clownFish","target",2,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"socks","distrClass3",3,4,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"gloves","distrClass3",4,3,NA,"clothing",1,1,0,"fish","","1449254729213","fish","False","False","False","clownFish",NA,NA,"","","","",""
"40","4452-5",1449254782955,40,"subSuperTrial","distr12","diningTable","target",2,3,"table","furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bed","distrClass2",4,4,NA,"furniture","sideTable","distrClass1",3,2,"table","furniture",2,2,0,"table that's facing us___not angled","","1449254768249___1449254779905","table that's facing us","False","False","False","diningTable",NA,NA,"","","","",""
"44","4452-5",1449254817785,44,"subSuperTrial","distr23","coffeeTable","target",3,4,"table","furniture","blackStimulus",NA,1,1,NA,NA,"crocodile","distrClass3",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"lamp","distrClass2",2,2,NA,"furniture",1,1,0,"table","","1449254816594","table","False","False","False","coffeeTable",NA,NA,"","","","",""
"45","4452-5",1449254823577,45,"subSuperTrial","distr23","mnMs","target",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass3",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",3,2,NA,"snack",1,1,0,"m and m","","1449254821486","m and m","False","False","False","mnMs",NA,NA,"","","","",""
"46","4452-5",1449254828220,46,"subSuperTrial","distr22","goldFish","target",3,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass2",4,4,NA,"animal","pig","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"fish","","1449254827141","fish","False","False","False","goldFish",NA,NA,"","","","",""
"47","4452-5",1449254835797,47,"subSuperTrial","distr12","poloShirt","target",2,2,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"campShirt","distrClass1",3,3,"shirt","clothing","gloves","distrClass2",4,4,NA,"clothing",1,1,0,"shirt without buttons","","1449254833174","shirt without buttons","False","False","False","poloShirt",NA,NA,"","","","",""
"49","4452-5",1449254847579,49,"subSuperTrial","distr23","suv","target",4,3,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"elephant","distrClass3",3,4,NA,"animal","firetruck","distrClass2",2,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"car","","1449254844976","car","False","False","False","suv",NA,NA,"","","","",""
"50","4452-5",1449254851427,50,"subSuperTrial","distr12","rose","target",2,3,"flower","plant","lily","distrClass1",3,4,"flower","plant","grasses","distrClass2",4,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"rose","","1449254850065","rose","False","False","True","rose",NA,NA,"","","","",""
"51","4452-5",1449254857175,51,"subSuperTrial","distr33","picnicTable","target",4,2,"table","furniture","chick","distrClass3",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"kitten","distrClass3",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"picnic table","","1449254855988","picnic table","False","False","False","picnicTable",NA,NA,"","","","",""
"52","4452-5",1449254861245,52,"subSuperTrial","distr23","daisy","target",3,2,"flower","plant","grasses","distrClass2",4,4,NA,"plant","snake","distrClass3",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"flower","","1449254860128","flower","False","False","False","daisy",NA,NA,"","","","",""
"56","4452-5",1449254893721,56,"subSuperTrial","distr23","polarBear","target",3,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",4,3,NA,"plant","cow","distrClass2",2,4,NA,"animal",2,1,1,"polar bear","lol","1449254889822___1449254890790","polar bear","False","False","False","polarBear",NA,NA,"","","","",""
"57","4452-5",1449254899180,57,"subSuperTrial","distr23","tShirt","target",2,4,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"rabbit","distrClass3",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"gloves","distrClass2",4,2,NA,"clothing",1,1,0,"shirt","","1449254897325","shirt","False","False","False","tShirt",NA,NA,"","","","",""
"59","4452-5",1449254942317,59,"subSuperTrial","distr12","germanShepherd","target",3,3,"dog","animal","blackStimulus",NA,5,5,NA,NA,"greyhound","distrClass1",2,4,"dog","animal","pig","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,4,2,2,"blackish dog___yeah that's it","the sheperd?___or whippet","1449254922593___1449254932610___1449254937373___1449254939322","blackish dog","False","False","False","germanShepherd",NA,NA,"","","","",""
"60","4452-5",1449254948542,60,"subSuperTrial","distr12","sunflower","target",4,3,"flower","plant","lily","distrClass1",3,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass2",2,2,NA,"plant",1,1,0,"sunflower","","1449254946435","sunflower","False","False","True","sunflower",NA,NA,"","","","",""
"61","4452-5",1449254987002,61,"subSuperTrial","distr22","gummyBears","target",2,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",3,3,NA,"snack","cookies","distrClass2",4,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"gummy bears","","1449254952522","gummy bears","False","False","False","gummyBears",NA,NA,"","","","",""
"62","4452-5",1449254994028,62,"subSuperTrial","distr22","blackBear","target",4,2,"bear","animal","elephant","distrClass2",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass2",3,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"black bear","","1449254992016","black bear","False","False","False","blackBear",NA,NA,"","","","",""
"63","4452-5",1449254998685,63,"subSuperTrial","distr22","eagle","target",2,3,"bird","animal","bison","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"squirrel","distrClass2",3,4,NA,"animal",1,1,0,"eagle","","1449254996945","eagle","False","False","True","eagle",NA,NA,"","","","",""
"65","4452-5",1449255017247,65,"subSuperTrial","distr33","bedsideTable","target",2,3,"table","furniture","cookies","distrClass3",4,4,NA,"snack","horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"dresser","","1449255015149","dresser","False","False","False","bedsideTable",NA,NA,"","","","",""
"66","4452-5",1449255022045,66,"subSuperTrial","distr23","hawaiiShirt","target",2,2,"shirt","clothing","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"socks","distrClass2",3,4,NA,"clothing",1,1,0,"shirt","","1449255020438","shirt","False","False","False","hawaiiShirt",NA,NA,"","","","",""
"68","4452-5",1449255032310,68,"subSuperTrial","distr33","pigeon","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"popcorn","distrClass3",3,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass3",4,2,NA,"snack",1,1,0,"bird","","1449255030923","bird","False","False","False","pigeon",NA,NA,"","","","",""
"69","4452-5",1449255037430,69,"subSuperTrial","distr23","dressShirt","target",3,2,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"gloves","distrClass2",2,4,NA,"clothing","cookies","distrClass3",4,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"shirt","","1449255036020","shirt","False","False","False","dressShirt",NA,NA,"","","","",""
"70","4452-5",1449255041825,70,"subSuperTrial","distr33","pandaBear","target",3,3,"bear","animal","wardrobe","distrClass3",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",2,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"panda","","1449255040284","panda","False","False","False","pandaBear",NA,NA,"","","","",""
"71","4452-5",1449255046065,71,"subSuperTrial","distr23","swordFish","target",2,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",4,4,NA,"animal","cookies","distrClass3",3,2,NA,"snack",1,1,0,"fish","","1449255044897","fish","False","False","False","swordFish",NA,NA,"","","","",""
"74","5076-0",1449254435900,2,"subSuperTrial","distr12","parrot","target",3,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,"sparrow","distrClass1",4,2,"bird","animal","bison","distrClass2",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,2,1,1,"It is the most colorful","GOT IT","1449254431693___1449254434559","It is the most colorful","False","False","False","parrot",NA,NA,"","","","",""
"75","5076-0",1449254456013,3,"subSuperTrial","distr33","coffeeTable","target",4,2,"table","furniture","gloves","distrClass3",2,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass3",3,4,NA,"animal",1,1,0,"It is a piece of furniture","","1449254454400","It is a piece of furniture","False","False","False","coffeeTable",NA,NA,"","","","",""
"76","5076-0",1449254467808,4,"subSuperTrial","distr23","swordFish","target",4,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"lion","distrClass2",2,3,NA,"animal","dress","distrClass3",3,4,NA,"clothing",1,1,0,"It swims in the ocean","","1449254462051","It swims in the ocean","False","False","False","swordFish",NA,NA,"","","","",""
"77","5076-0",1449254480410,5,"subSuperTrial","distr22","tShirt","target",4,2,"shirt","clothing","gloves","distrClass2",3,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bathrobe","distrClass2",2,3,NA,"clothing",1,1,0,"It has short sleeves","","1449254478457","It has short sleeves","False","False","False","tShirt",NA,NA,"","","","",""
"79","5076-0",1449254507357,7,"subSuperTrial","distr22","germanShepherd","target",4,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",2,3,NA,"animal","iguana","distrClass2",3,2,NA,"animal",1,1,0,"It barks","","1449254505288","It barks","False","False","False","germanShepherd",NA,NA,"","","","",""
"80","5076-0",1449254518698,8,"subSuperTrial","distr23","mnMs","target",4,4,"candy","snack","snake","distrClass3",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",2,2,NA,"snack",1,1,0,"Colorful and edible","","1449254515767","Colorful and edible","False","False","False","mnMs",NA,NA,"","","","",""
"81","5076-0",1449254528068,9,"subSuperTrial","distr33","gummyBears","target",4,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"snake","distrClass3",3,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"rabbit","distrClass3",2,3,NA,"animal",1,1,0,"Colorful and edible again!","","1449254526742","Colorful and edible again!","False","False","False","gummyBears",NA,NA,"","","","",""
"84","5076-0",1449254562682,12,"subSuperTrial","distr12","skittles","target",4,2,"candy","snack","chips","distrClass2",3,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",2,4,"candy","snack",1,1,0,"""Round with small S""""s on them""""""","","1449254560801","""Round with small S""""s on them""""""","False","False","False","skittles",NA,NA,"","","","",""
"85","5076-0",1449254575684,13,"subSuperTrial","distr23","picnicTable","target",4,3,"table","furniture","blackStimulus",NA,5,5,NA,NA,"lamp","distrClass2",3,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"gloves","distrClass3",2,2,NA,"clothing",1,1,0,"Somewhere you can sit","","1449254572225","Somewhere you can sit","False","False","False","picnicTable",NA,NA,"","","","",""
"87","5076-0",1449254589867,15,"subSuperTrial","distr33","dalmatian","target",2,3,"dog","animal","blackStimulus",NA,5,5,NA,NA,"dress","distrClass3",3,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass3",4,2,NA,"plant",1,1,0,"Spotted","","1449254588290","Spotted","False","False","False","dalmatian",NA,NA,"","","","",""
"88","5076-0",1449254603355,16,"subSuperTrial","distr22","sportsCar","target",3,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass2",4,2,NA,"vehicle","firetruck","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"Silver object","","1449254601843","Silver object","False","False","False","sportsCar",NA,NA,"","","","",""
"89","5076-0",1449254623164,17,"subSuperTrial","distr12","grizzlyBear","target",4,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",2,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"crocodile","distrClass2",3,4,NA,"animal",1,1,0,"Large and furry"," lives mostly in the woods","","1449254619514","Large and furry"," lives mostly in the woods","False","False","False","grizzlyBear",NA,NA,"","",""
"91","5076-0",1449254639660,19,"subSuperTrial","distr22","dressShirt","target",3,4,"shirt","clothing","bathrobe","distrClass2",4,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"gloves","distrClass2",2,3,NA,"clothing",1,1,0,"Typical menswear","","1449254637553","Typical menswear","False","False","False","dressShirt",NA,NA,"","","","",""
"92","5076-0",1449254646885,20,"subSuperTrial","distr33","pigeon","target",3,4,"bird","animal","blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass3",2,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass3",4,3,NA,"vehicle",1,1,0,"Flies","","1449254645577","Flies","False","False","False","pigeon",NA,NA,"","","","",""
"93","5076-0",1449254654274,21,"subSuperTrial","distr33","husky","target",4,3,"dog","animal","wardrobe","distrClass3",2,2,NA,"furniture","socks","distrClass3",3,4,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"Living animal","","1449254652792","Living animal","False","False","False","husky",NA,NA,"","","","",""
"95","5076-0",1449254670213,23,"subSuperTrial","distr22","hawaiiShirt","target",4,4,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"bathrobe","distrClass2",2,2,NA,"clothing","gloves","distrClass2",3,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"Short sleeves","","1449254668871","Short sleeves","False","False","False","hawaiiShirt",NA,NA,"","","","",""
"98","5076-0",1449254686463,26,"subSuperTrial","distr23","jellyBeans","target",4,4,"candy","snack","lion","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",2,3,NA,"snack",1,1,0,"Very colorful","","1449254685621","Very colorful","False","False","False","jellyBeans",NA,NA,"","","","",""
"99","5076-0",1449254691561,27,"subSuperTrial","distr33","poloShirt","target",4,4,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass3",3,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass3",2,2,NA,"animal",1,1,0,"Short seeves","","1449254690315","Short seeves","False","False","False","poloShirt",NA,NA,"","","","",""
"101","5076-0",1449254703973,29,"subSuperTrial","distr23","convertible","target",4,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",3,3,NA,"vehicle","cookies","distrClass3",2,2,NA,"snack",1,1,0,"Convertible","","1449254702900","Convertible","False","False","True","convertible",NA,NA,"","","","",""
"102","5076-0",1449254717772,30,"subSuperTrial","distr12","goldFish","target",4,3,"fish","animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",3,4,"fish","animal","sheep","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Goldfish","","1449254715995","Goldfish","False","False","False","goldFish",NA,NA,"","","","",""
"103","5076-0",1449254724860,31,"subSuperTrial","distr12","hummingBird","target",3,3,"bird","animal","sparrow","distrClass1",4,2,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bison","distrClass2",2,4,NA,"animal",1,1,0,"Hummingbird","","1449254723378","Hummingbird","False","False","False","hummingBird",NA,NA,"","","","",""
"104","5076-0",1449254730447,32,"subSuperTrial","distr23","sunflower","target",2,4,"flower","plant","iguana","distrClass3",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",3,2,NA,"plant",1,1,0,"Sunflower","","1449254728812","Sunflower","False","False","True","sunflower",NA,NA,"","","","",""
"105","5076-0",1449254745406,33,"subSuperTrial","distr12","daisy","target",3,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",4,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",2,4,"flower","plant",1,1,0,"Small white flower with yellow in the middle","","1449254743129","Small white flower with yellow in the middle","False","False","False","daisy",NA,NA,"","","","",""
"107","5076-0",1449254765392,35,"subSuperTrial","distr12","blackBear","target",2,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",3,2,NA,"animal","koalaBear","distrClass1",4,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Almost completely black","","1449254762206","Almost completely black","False","False","False","blackBear",NA,NA,"","","","",""
"111","5076-0",1449254802435,39,"subSuperTrial","distr22","catfish","target",4,2,"fish","animal","bison","distrClass2",3,4,NA,"animal","rabbit","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"Lives underwater","","1449254800782","Lives underwater","False","False","False","catfish",NA,NA,"","","","",""
"112","5076-0",1449254807555,40,"subSuperTrial","distr23","eagle","target",4,4,"bird","animal","blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass3",2,3,NA,"plant","snake","distrClass2",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Flies","","1449254805865","Flies","False","False","False","eagle",NA,NA,"","","","",""
"116","5076-0",1449254834551,44,"subSuperTrial","distr22","polarBear","target",3,3,"bear","animal","elephant","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rhino","distrClass2",4,4,NA,"animal",1,1,0,"Bear","","1449254833127","Bear","False","False","False","polarBear",NA,NA,"","","","",""
"117","5076-0",1449254843972,45,"subSuperTrial","distr12","clownFish","target",4,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",2,3,"fish","animal","snake","distrClass2",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Clown fish","","1449254841297","Clown fish","False","False","False","clownFish",NA,NA,"","","","",""
"118","5076-0",1449254853095,46,"subSuperTrial","distr23","bedsideTable","target",4,2,"table","furniture","ambulance","distrClass3",3,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bed","distrClass2",2,3,NA,"furniture",1,1,0,"Nightstand","","1449254852058","Nightstand","False","False","False","bedsideTable",NA,NA,"","","","",""
"121","5076-0",1449254870753,49,"subSuperTrial","distr33","tulip","target",4,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",3,2,NA,"vehicle","rabbit","distrClass3",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Flower","","1449254869722","Flower","False","False","False","tulip",NA,NA,"","","","",""
"125","5076-0",1449254894923,53,"subSuperTrial","distr22","diningTable","target",4,2,"table","furniture","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass2",3,4,NA,"furniture","wardrobe","distrClass2",2,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,1,1,0,"Desk","","1449254892799","Desk","False","False","False","diningTable",NA,NA,"","","","",""
"131","5076-0",1449254932145,59,"subSuperTrial","distr33","rose","target",2,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass3",4,3,NA,"snack","horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Rose","","1449254930995","Rose","False","False","True","rose",NA,NA,"","","","",""
"137","5076-0",1449254967805,65,"subSuperTrial","distr22","minivan","target",4,3,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass2",2,4,NA,"vehicle","ambulance","distrClass2",3,2,NA,"vehicle",1,1,0,"Mini-van","","1449254966605","Mini-van","False","False","False","minivan",NA,NA,"","","","",""
"141","5076-0",1449254993059,69,"subSuperTrial","distr23","pug","target",2,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass3",3,2,NA,"plant",1,1,0,"Dog","","1449254991777","Dog","False","False","False","pug",NA,NA,"","","","",""
"143","5076-0",1449255007686,71,"subSuperTrial","distr12","suv","target",2,2,"car","vehicle","train","distrClass2",4,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",3,3,"car","vehicle",1,1,0,"SUV","","1449255006078","SUV","False","False","True","suv",NA,NA,"","","","",""
"144","5076-0",1449255013401,72,"subSuperTrial","distr33","pandaBear","target",3,2,"bear","animal","lamp","distrClass3",2,4,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass3",4,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"Panda","","1449255012467","Panda","False","False","False","pandaBear",NA,NA,"","","","",""
