"","X.1","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","typeAttributeMentioned","noAttrOrLevelMentioned","noLevelMentioned","basiclevelAttributeMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"504",589,"3293-5",1.45e+12,58,"subSuperTrial","distr23","skittles","target",4,2,"candy","snack","bison","distrClass3",2,4,NA,"animal","pretzels","distrClass2",3,3,NA,"snack",1,1,0,"candy","","1450000000000","candy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"skittles",NA,NA,NA,NA,NA,""
"505",590,"5512-7",1.45e+12,37,"subSuperTrial","distr23","jellyBeans","target",2,3,"candy","snack","lobster","distrClass3",4,2,NA,"animal","pretzels","distrClass2",3,4,NA,"snack",1,1,0,"candy","","1450000000000","candy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"jellyBeans",NA,NA,NA,NA,NA,""
"506",591,"4517-f",1.45e+12,23,"subSuperTrial","distr23","mnMs","target",2,4,"candy","snack","rhino","distrClass3",3,3,NA,"animal","pretzels","distrClass2",4,2,NA,"snack",1,1,0,"m&m","","1450000000000","m&m",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"mnMs",NA,NA,NA,NA,NA,""
"507",592,"3504-8",1.45e+12,4,"subSuperTrial","distr23","gummyBears","target",4,3,"candy","snack","lamp","distrClass3",2,4,NA,"furniture","pretzels","distrClass2",3,2,NA,"snack",1,1,0,"gummi bears","","1450000000000","gummi bears",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"gummyBears",NA,NA,NA,NA,NA,""
"508",593,"9551-7",1.45e+12,63,"subSuperTrial","distr23","grizzlyBear","target",2,2,"bear","animal","bookcase","distrClass3",3,4,NA,"furniture","rabbit","distrClass2",4,3,NA,"animal",1,1,0,"bear","","1450000000000","bear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"grizzlyBear",NA,NA,NA,NA,NA,""
"509",594,"5628-2",1.45e+12,30,"subSuperTrial","distr23","swordFish","target",4,4,"fish","animal","cookies","distrClass3",3,2,NA,"snack","rhino","distrClass2",2,3,NA,"animal",1,1,0,"marlin","","1450000000000","marlin",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"swordFish",NA,NA,NA,NA,NA,""
"511",596,"2919-a",1.45e+12,17,"subSuperTrial","distr23","rose","target",4,4,"flower","plant","bathrobe","distrClass3",3,2,NA,"clothing","rosemary","distrClass2",2,3,NA,"plant",1,1,0,"rose","","1450000000000","rose",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"rose",NA,NA,NA,NA,NA,""
"512",597,"0198-d",1.45e+12,11,"subSuperTrial","distr23","swordFish","target",3,3,"fish","animal","chick","distrClass2",2,4,NA,"animal","rosemary","distrClass3",4,2,NA,"plant",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"swordFish",NA,NA,NA,NA,NA,""
"513",600,"8258-f",1.45e+12,17,"subSuperTrial","distr23","husky","target",2,3,"dog","animal","motorcycle","distrClass3",3,2,NA,"vehicle","sheep","distrClass2",4,4,NA,"animal",1,1,0,"dog","","1450000000000","dog",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"husky",NA,NA,NA,NA,NA,""
"514",601,"5975-e",1.45e+12,2,"subSuperTrial","distr23","rose","target",2,2,"flower","plant","rosemary","distrClass2",3,4,NA,"plant","sheep","distrClass3",4,3,NA,"animal",1,1,0,"its a flower","","1450000000000","its a flower",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"rose",NA,NA,NA,NA,NA,""
