condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,freq_sub,freq_sub_label,freq_basic,freq_basic_label,freq_super,freq_super_label,p_s_sub,p_s_basic,p_s_super
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,1.59E-010,LOW,0.0000221,MED,0.5937470074,0.1242161889,0.2820368037
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,1.59E-010,LOW,0.000309774,HIGH,0.9553596082,0.0308611825,0.0137792093
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,1.59E-010,LOW,0.000309774,HIGH,0.7993460206,0.1937783619,0.0068756175
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,1.59E-010,LOW,0.000309774,HIGH,0.7629393325,0.1933310551,0.0437296124
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,1.59E-010,LOW,0.000309774,HIGH,0.5355590932,0.1420077648,0.3224331421
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.0000221,MED,0.0000221,MED,0.9050602455,0.0846404716,0.0102992828
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.0000221,MED,0.0000221,MED,0.5852724599,0.4107555601,0.00397198
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.0000221,MED,0.0000221,MED,0.562165695,0.4124115838,0.0254227212
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.0000221,MED,0.0000221,MED,0.4459000055,0.3422922537,0.2118077409
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.000309774,HIGH,0.000309774,HIGH,0.7220712403,0.2477784089,0.0301503508
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.000309774,HIGH,0.000309774,HIGH,0.2777711881,0.7153117927,0.0069170193
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.000309774,HIGH,0.000309774,HIGH,0.2592166705,0.6977699615,0.043013368
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.000309774,HIGH,0.000309774,HIGH,0.1798667627,0.5066328404,0.3135003969
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.0000221,MED,1.59E-010,LOW,0.9118925097,0.0852794192,0.0028280711
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.0000221,MED,1.59E-010,LOW,0.586968499,0.4119458732,0.0010856277
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.0000221,MED,1.59E-010,LOW,0.572758416,0.4201825326,0.0070590515
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.0000221,MED,1.59E-010,LOW,0.5271205272,0.4046406615,0.0682388113
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.000309774,HIGH,1.59E-010,LOW,0.890899705,0.1055983977,0.0035018973
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.000309774,HIGH,1.59E-010,LOW,0.5285805556,0.4701803476,0.0012390968
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.000309774,HIGH,1.59E-010,LOW,0.5140248401,0.4779456895,0.0080294704
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.000309774,HIGH,1.59E-010,LOW,0.4679411343,0.4552801798,0.0767786859
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.0000221,MED,0.000309774,HIGH,0.8808442161,0.082375809,0.0367799749
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.0000221,MED,0.000309774,HIGH,0.579132272,0.4064462572,0.0144214708
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.0000221,MED,0.000309774,HIGH,0.5264409957,0.3862035103,0.0873554939
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.0000221,MED,0.000309774,HIGH,0.2848513853,0.2186643226,0.4964842921
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,0.000309774,HIGH,0.0000221,MED,0.7382638936,0.2533349103,0.0084011961
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,0.000309774,HIGH,0.0000221,MED,0.2791759769,0.7189293818,0.0018946413
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,0.000309774,HIGH,0.0000221,MED,0.2675897843,0.7203090495,0.0121011662
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,0.000309774,HIGH,0.0000221,MED,0.2330066182,0.6563125008,0.1106808809
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,1.59E-010,LOW,1.59E-010,LOW,0.9722063091,0.0247785674,0.0030151235
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,1.59E-010,LOW,1.59E-010,LOW,0.8381403148,0.1603095025,0.0015501826
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,1.59E-010,LOW,1.59E-010,LOW,0.8249073909,0.1649259078,0.0101667013
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,1.59E-010,LOW,1.59E-010,LOW,0.7470139589,0.156280749,0.0967052921
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,1.59E-010,LOW,0.0000221,MED,0.9666828897,0.0246377924,0.008679318
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,1.59E-010,LOW,0.0000221,MED,0.8356853541,0.1598399469,0.004474699
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.0000221,MED,0.8093148652,0.1618084531,0.0288766817
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.0000221,MED,0.6313182005,0.1320763555,0.2366054439
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.9644442122,0.0245807353,0.0109750525
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.8346864679,0.1596488918,0.0056646403
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.8031125687,0.1605684116,0.0363190197
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.5937470074,0.1242161889,0.2820368037
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.9722063091,0.0247785674,0.0030151235
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.8381403148,0.1603095025,0.0015501826
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.8249073909,0.1649259078,0.0101667013
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.7470139589,0.156280749,0.0967052921
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,0.9050602455,0.0846404716,0.0102992828
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,0.5852724599,0.4107555601,0.00397198
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,0.562165695,0.4124115838,0.0254227212
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,0.4459000055,0.3422922537,0.2118077409
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.9286024521,0.068517654,0.0028798939
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.6428475529,0.3559634683,0.0011889789
