condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,7.029412,MED,0.4649700326,0.529738764,0.0052912034
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,7.029412,MED,0.1046386632,0.8946512014,0.0007101354
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,7.029412,MED,0.1001758246,0.8952939416,0.0045302339
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,7.029412,MED,0.0923631864,0.863763215,0.0438735986
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,13.13,HIGH,0.7966075411,0.2013809999,0.0020114591
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,13.13,HIGH,0.3449889492,0.6544915438,0.000519507
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,13.13,HIGH,0.3341002659,0.6625472108,0.0033525233
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,13.13,HIGH,0.314418755,0.6524414297,0.0331398153
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,7.029412,MED,0.9050602455,0.0846404716,0.0102992828
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,7.029412,MED,0.5852724599,0.4107555601,0.00397198
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,7.029412,MED,0.562165695,0.4124115838,0.0254227212
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,7.029412,MED,0.4459000055,0.3422922537,0.2118077409
