parameter,value,MCMCprob
typWeight,0.8233487818404183,0.0016999999999999997
alpha,4.740004995392807,0.0012999999999999993
lengthWeight,1.6341801749476461,0.0012999999999999993
freqWeight,0.6311895536777568,0.0012999999999999993
typWeight,0.8233487818404183,0.0012999999999999993
alpha,4.740004995392807,0.0028000000000000013
lengthWeight,1.6341801749476461,0.0028000000000000013
freqWeight,0.6311895536777568,0.0028000000000000013
typWeight,0.9661898439704873,0.0028000000000000013
alpha,4.740004995392807,0.0027000000000000006
lengthWeight,1.6341801749476461,0.0027000000000000006
freqWeight,0.6311895536777568,0.0027000000000000006
typWeight,0.9442008830927169,0.0027000000000000006
alpha,4.740004995392807,0.0024
lengthWeight,1.6341801749476461,0.0024
freqWeight,0.6311895536777568,0.0024
typWeight,0.723432325922631,0.0024
alpha,4.740004995392807,0.00019999999999999985
lengthWeight,1.6341801749476461,0.00019999999999999985
freqWeight,0.6311895536777568,0.00019999999999999985
typWeight,0.9844490966084614,0.00019999999999999985
alpha,4.740004995392807,0.0024
lengthWeight,1.6341801749476461,0.0024
freqWeight,0.6311895536777568,0.0024
typWeight,0.9907247111685468,0.0024
alpha,4.740004995392807,0.0005999999999999994
lengthWeight,1.6341801749476461,0.0005999999999999994
freqWeight,0.6311895536777568,0.0005999999999999994
typWeight,0.8060473356592301,0.0005999999999999994
alpha,4.740004995392807,0.0025999999999999986
lengthWeight,1.6341801749476461,0.0025999999999999986
freqWeight,0.7449978939203352,0.0025999999999999986
typWeight,0.8060473356592301,0.0025999999999999986
alpha,4.740004995392807,0.005000000000000001
lengthWeight,1.6341801749476461,0.005000000000000001
freqWeight,0.7449978939203352,0.005000000000000001
typWeight,0.9058953196774714,0.005000000000000001
alpha,4.740004995392807,0.0021999999999999997
lengthWeight,1.6341801749476461,0.0021999999999999997
freqWeight,0.7449978939203352,0.0021999999999999997
typWeight,0.8853825985684155,0.0021999999999999997
alpha,4.740004995392807,0.0020999999999999986
lengthWeight,2.420125882090703,0.0020999999999999986
freqWeight,0.7449978939203352,0.0020999999999999986
typWeight,0.8853825985684155,0.0020999999999999986
alpha,4.740004995392807,0.0033999999999999994
lengthWeight,2.420125882090703,0.0033999999999999994
freqWeight,0.7449978939203352,0.0033999999999999994
typWeight,0.8384185948593537,0.0033999999999999994
alpha,4.740004995392807,0.0004
lengthWeight,2.420125882090703,0.0004
freqWeight,0.0862172362460919,0.0004
typWeight,0.8384185948593537,0.0004
alpha,4.740004995392807,0.0017999999999999993
lengthWeight,2.420125882090703,0.0017999999999999993
freqWeight,1.106870890577505,0.0017999999999999993
typWeight,0.8384185948593537,0.0017999999999999993
alpha,4.740004995392807,0.003700000000000001
lengthWeight,2.420125882090703,0.003700000000000001
freqWeight,0.9514215406960518,0.003700000000000001
typWeight,0.8384185948593537,0.003700000000000001
alpha,4.740004995392807,0.003900000000000001
lengthWeight,2.420125882090703,0.003900000000000001
freqWeight,0.3334232202197196,0.003900000000000001
typWeight,0.8384185948593537,0.003900000000000001
alpha,4.740004995392807,0.001899999999999999
lengthWeight,2.420125882090703,0.001899999999999999
freqWeight,0.3334232202197196,0.001899999999999999
typWeight,0.8496749331276051,0.001899999999999999
alpha,4.740004995392807,0.002999999999999998
lengthWeight,2.420125882090703,0.002999999999999998
freqWeight,0.3334232202197196,0.002999999999999998
typWeight,0.9596769704154884,0.002999999999999998
alpha,4.740004995392807,0.0008
lengthWeight,2.420125882090703,0.0008
freqWeight,0.3334232202197196,0.0008
typWeight,0.9982908924404165,0.0008
alpha,4.740004995392807,0.0004999999999999998
lengthWeight,2.420125882090703,0.0004999999999999998
freqWeight,0.3334232202197196,0.0004999999999999998
typWeight,0.9964301614239066,0.0004999999999999998
alpha,4.740004995392807,0.0004999999999999998
lengthWeight,2.420125882090703,0.0004999999999999998
freqWeight,0.3334232202197196,0.0004999999999999998
typWeight,0.8518935774773296,0.0004999999999999998
alpha,4.306368904193905,0.0028000000000000013
lengthWeight,2.420125882090703,0.0028000000000000013
freqWeight,0.3334232202197196,0.0028000000000000013
typWeight,0.8518935774773296,0.0028000000000000013
alpha,4.306368904193905,0.0025999999999999986
lengthWeight,2.420125882090703,0.0025999999999999986
freqWeight,0.3334232202197196,0.0025999999999999986
typWeight,0.9550457899014662,0.0025999999999999986
alpha,4.306368904193905,0.0057
lengthWeight,2.420125882090703,0.0057
freqWeight,0.5982082200437293,0.0057
typWeight,0.9550457899014662,0.0057
alpha,4.306368904193905,0.006499999999999999
lengthWeight,2.420125882090703,0.006499999999999999
freqWeight,0.5982082200437293,0.006499999999999999
typWeight,0.8172887037950998,0.006499999999999999
alpha,4.306368904193905,0.00030000000000000024
lengthWeight,2.420125882090703,0.00030000000000000024
freqWeight,0.5982082200437293,0.00030000000000000024
typWeight,0.7463709567056593,0.00030000000000000024
alpha,4.306368904193905,0.0024
lengthWeight,2.420125882090703,0.0024
freqWeight,0.5982082200437293,0.0024
typWeight,0.8654711849411418,0.0024
alpha,4.306368904193905,0.004000000000000003
lengthWeight,2.420125882090703,0.004000000000000003
freqWeight,0.5872340258774695,0.004000000000000003
typWeight,0.8654711849411418,0.004000000000000003
alpha,4.306368904193905,0.0006999999999999997
lengthWeight,2.420125882090703,0.0006999999999999997
freqWeight,0.4679494491969396,0.0006999999999999997
typWeight,0.8654711849411418,0.0006999999999999997
