parameter,value,MCMCprob
lengthWeight,3.2483007106930017,0.09099999999999997
freqWeight,0.47671820502728224,0.09099999999999997
interactionWeight,0.23830479942262173,0.09099999999999997
typWeight,0.9984762296080589,0.09099999999999997
alpha,7.11634423583746,0.011000000000000003
lengthWeight,2.7470415318384767,0.011000000000000003
freqWeight,0.47671820502728224,0.011000000000000003
interactionWeight,0.23830479942262173,0.011000000000000003
typWeight,0.9984762296080589,0.011000000000000003
alpha,6.430563540197909,0.006999999999999998
lengthWeight,2.7470415318384767,0.006999999999999998
freqWeight,0.47671820502728224,0.006999999999999998
interactionWeight,0.23830479942262173,0.006999999999999998
typWeight,0.9984762296080589,0.006999999999999998
alpha,6.430563540197909,0.022999999999999993
lengthWeight,2.6877501513808966,0.022999999999999993
freqWeight,0.47671820502728224,0.022999999999999993
interactionWeight,0.23830479942262173,0.022999999999999993
typWeight,0.9984762296080589,0.022999999999999993
alpha,3.8430371461436152,0.0020000000000000013
lengthWeight,2.6877501513808966,0.0020000000000000013
freqWeight,0.47671820502728224,0.0020000000000000013
interactionWeight,0.23830479942262173,0.0020000000000000013
typWeight,0.9984762296080589,0.0020000000000000013
alpha,3.8430371461436152,0.010000000000000002
lengthWeight,2.6877501513808966,0.010000000000000002
freqWeight,0.47671820502728224,0.010000000000000002
interactionWeight,0.23830479942262173,0.010000000000000002
typWeight,0.7987918984144926,0.010000000000000002
alpha,4.9872520146891475,0.021
lengthWeight,2.6877501513808966,0.021
freqWeight,0.47671820502728224,0.021
interactionWeight,0.23830479942262173,0.021
typWeight,0.7987918984144926,0.021
alpha,4.9872520146891475,0.004000000000000003
lengthWeight,2.6877501513808966,0.004000000000000003
freqWeight,0.47671820502728224,0.004000000000000003
interactionWeight,0.23830479942262173,0.004000000000000003
typWeight,0.8052611043676734,0.004000000000000003
alpha,4.9872520146891475,0.011999999999999992
lengthWeight,2.6877501513808966,0.011999999999999992
freqWeight,0.47671820502728224,0.011999999999999992
interactionWeight,0.23830479942262173,0.011999999999999992
typWeight,0.9067117753438652,0.011999999999999992
alpha,4.9872520146891475,0.005999999999999996
lengthWeight,2.6877501513808966,0.005999999999999996
freqWeight,0.47671820502728224,0.005999999999999996
interactionWeight,0.23830479942262173,0.005999999999999996
typWeight,0.9230796883348376,0.005999999999999996
alpha,4.9872520146891475,0.010000000000000002
lengthWeight,2.6877501513808966,0.010000000000000002
freqWeight,0.47671820502728224,0.010000000000000002
interactionWeight,0.23830479942262173,0.010000000000000002
typWeight,0.9737617690116167,0.010000000000000002
alpha,4.9872520146891475,0.004000000000000003
lengthWeight,2.6877501513808966,0.004000000000000003
freqWeight,0.47671820502728224,0.004000000000000003
interactionWeight,0.23830479942262173,0.004000000000000003
typWeight,0.7901257511693984,0.004000000000000003
alpha,4.9872520146891475,0.005999999999999996
lengthWeight,2.045874912291765,0.005999999999999996
freqWeight,0.47671820502728224,0.005999999999999996
interactionWeight,0.23830479942262173,0.005999999999999996
typWeight,0.7901257511693984,0.005999999999999996
alpha,4.9872520146891475,0.06899999999999999
lengthWeight,2.045874912291765,0.06899999999999999
freqWeight,0.47671820502728224,0.06899999999999999
interactionWeight,0.23830479942262173,0.06899999999999999
typWeight,0.9355535835493356,0.06899999999999999
alpha,4.9872520146891475,0.05499999999999999
lengthWeight,2.045874912291765,0.05499999999999999
freqWeight,0.47671820502728224,0.05499999999999999
interactionWeight,0.23830479942262173,0.05499999999999999
typWeight,0.9355364292860031,0.05499999999999999
alpha,4.9872520146891475,0.012999999999999998
lengthWeight,2.045874912291765,0.012999999999999998
