Utterance,condition,target,alt1,alt2,Probability,YMax,YMin
basic,item12,goldfish,discusfish,kitten,0.379294832296165,0.379294832296165,0.379294832296165
basic,item12,goldfish,discusfish,rhino,0.357563925534449,0.357563925534449,0.357563925534449
basic,item12,goldfish,discusfish,sheep,0.383874618470933,0.383874618470933,0.383874618470933
basic,item12,goldfish,discusfish,snake,0.372020969841952,0.372020969841952,0.372020969841952
basic,item12,goldfish,discusfish,squirrel,0.375160684169639,0.375160684169639,0.375160684169639
basic,item12,grizzlybear,cow,koalabear,0.488172684623243,0.488172684623243,0.488172684623243
basic,item12,grizzlybear,koalabear,snake,0.522545567526382,0.522545567526382,0.522545567526382
basic,item12,gummybears,candycorn,chips,0.134280551045166,0.134280551045166,0.134280551045166
basic,item12,gummybears,candycorn,cookies,0.100867608821474,0.100867608821474,0.100867608821474
basic,item12,gummybears,candycorn,popcorn,0.130673895624802,0.130673895624802,0.130673895624802
basic,item12,gummybears,candycorn,pretzels,0.129257266078979,0.129257266078979,0.129257266078979
basic,item12,hawaiishirt,campshirt,dress,0.357913804341217,0.357913804341217,0.357913804341217
basic,item12,hawaiishirt,campshirt,gloves,0.339552434419828,0.339552434419828,0.339552434419828
basic,item12,hawaiishirt,campshirt,socks,0.32851906377055,0.32851906377055,0.32851906377055
basic,item12,hummingbird,bed,chick,0.198368337486731,0.198368337486731,0.198368337486731
basic,item12,hummingbird,bison,sparrow,0.289030306962202,0.289030306962202,0.289030306962202
basic,item12,hummingbird,chick,crocodile,0.215012419001649,0.215012419001649,0.215012419001649
basic,item12,hummingbird,chick,snake,0.213101509885126,0.213101509885126,0.213101509885126
basic,item12,hummingbird,elephant,sparrow,0.290446665972797,0.290446665972797,0.290446665972797
basic,item12,hummingbird,rabbit,sparrow,0.285900475462403,0.285900475462403,0.285900475462403
basic,item12,husky,chick,greyhound,0.113300530150907,0.113300530150907,0.113300530150907
basic,item12,husky,cow,greyhound,0.117782965344736,0.117782965344736,0.117782965344736
basic,item12,husky,crocodile,greyhound,0.108948206332606,0.108948206332606,0.108948206332606
basic,item12,husky,greyhound,horse,0.126132364561405,0.126132364561405,0.126132364561405
basic,item12,husky,greyhound,lobster,0.116173621384779,0.116173621384779,0.116173621384779
basic,item12,husky,greyhound,snake,0.118607555256182,0.118607555256182,0.118607555256182
basic,item12,jellybeans,candycorn,chips,0.193053177525692,0.193053177525692,0.193053177525692
basic,item12,jellybeans,candycorn,cookies,0.139519114450221,0.139519114450221,0.139519114450221
