"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half"
"72","4041-d",1479400044179,9,"pear","overinformative","pear_green","target",4,2,"apple_red","distractor",3,3,"carrot_purple","distractor",2,4,1,1,0,"pear","","1479400042906","pear","False","True","pear","green",0.869583333333333,"typical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",1
"73","4041-d",1479400051130,10,"banana","informative","banana_blue","target",4,3,"avocado_black","distractor",3,2,"banana_brown","distractor",2,4,1,1,0,"blue banana","","1479400049911","blue banana","True","True","banana","blue",0.0219230769230769,"atypical",TRUE,"blue bananaa",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1
"74","4041-d",1479400060315,11,"pepper","informative","pepper_red","target",4,3,"pepper_green","distractor",3,2,"pear_green","distractor",2,4,1,1,0,"red pepper","","1479400058973","red pepper","True","True","pepper","red",0.938846153846154,"typical",TRUE,"red pepper",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pepper",1
"75","4041-d",1479400067746,12,"pear","informative","pear_orange","target",3,2,"banana_brown","distractor",4,4,"pear_green","distractor",2,3,1,1,0,"orange pear","","1479400065050","orange pear","True","True","pear","orange",0.193103448275862,"atypical",TRUE,"orange pear",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pear",1
"76","4041-d",1479400072944,13,"apple","overinformative","apple_red","target",4,3,"pear_orange","distractor",2,4,"banana_blue","distractor",3,2,1,1,0,"apple","","1479400071668","apple","False","True","apple","red",0.919259259259259,"typical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"apple",1
"77","4041-d",1479400080240,14,"banana","overinformative","banana_brown","target",4,3,"apple_green","distractor",2,4,"apple_blue","distractor",3,2,1,1,0,"brown banana","","1479400078762","brown banana","True","True","banana","brown",0.2796,"atypical",TRUE,"brown bananaa",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1
"78","4041-d",1479400087192,15,"carrot","overinformative","carrot_pink","target",2,4,"avocado_black","distractor",3,3,"tomato_green","distractor",4,2,1,1,0,"purple","","1479400085103","purple","False","False","carrot","pink",0.0828571428571429,"atypical",TRUE,"purple",FALSE,FALSE,"color",1,0,0,0,0,0,"carrot",1
"79","4041-d",1479400096784,16,"avocado","overinformative","avocado_red","target",2,2,"banana_blue","distractor",4,4,"tomato_pink","distractor",3,3,1,1,0,"red avacado","","1479400095330","red avacado","True","False","avocado","red",0.33037037037037,"atypical",TRUE,"red avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1
"80","4041-d",1479400103864,17,"carrot","overinformative-cc","carrot_purple","target",4,2,"cup_purple","distractor",3,3,"avocado_black","distractor",2,4,1,1,0,"purple carrot","","1479400102448","purple carrot","True","True","carrot","purple",0.08,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1
"81","4041-d",1479400110081,18,"apple","overinformative-cc","apple_red","target",3,4,"cup_red","distractor",4,2,"carrot_pink","distractor",2,3,1,1,0,"apple","","1479400107556","apple","False","True","apple","red",0.919259259259259,"typical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"apple",1
