"uttType","condition","NormedTypicality","target","empiricProb","ci.low","ci.high"
"colorType","overinformative-cc",0.962,"red_tomato",0.25,0.2,0.2
"colorType","overinformative-cc",0.966,"green_avocado",0.12,0.12,0.16
"colorType","overinformative-cc",0.976,"orange_carrot",0.178571428571429,0.107142857142857,0.142857142857143
"colorType","overinformative-cc",0.979,"yellow_banana",0.0909090909090909,0.0909090909090909,0.136363636363636
"other","informative",0.412,"pink_tomato",0,0,0
"other","informative",0.419,"blue_banana",0.04,0.04,0.08
"other","informative",0.462,"blue_apple",0,0,0
"other","informative",0.503,"pink_carrot",0.0344827586206897,0.0344827586206897,0.0689655172413793
"other","informative",0.565,"brown_carrot",0,0,0
"other","informative",0.637,"black_pepper",0.0384615384615385,0.0384615384615385,0.0769230769230769
"other","informative",0.657,"brown_banana",0.0454545454545455,0.0454545454545455,0.0909090909090909
"other","informative",0.686,"orange_pear",0.0357142857142857,0.0357142857142857,0.0714285714285714
"other","informative",0.696,"red_avocado",0.0952380952380952,0.0952380952380952,0.142857142857143
"other","informative",0.738,"green_tomato",0,0,0
"other","informative",0.812,"black_avocado",0.0645161290322581,0.0645161290322581,0.0967741935483871
"other","informative",0.841,"orange_pepper",0.0344827586206897,0.0344827586206897,0.0689655172413793
"other","informative",0.924,"yellow_pear",0.0869565217391304,0.0869565217391304,0.130434782608696
"other","informative",0.934,"red_pepper",0,0,0
"other","informative",0.953,"green_pear",0.0714285714285714,0.0714285714285714,0.107142857142857
"other","informative",0.953,"red_apple",0.04,0.04,0.08
"other","informative",0.961,"green_apple",0.05,0.05,0.1
"other","informative",0.962,"red_tomato",0.0666666666666667,0.0666666666666667,0.1
"other","informative",0.966,"green_avocado",0.0526315789473684,0.0526315789473684,0.105263157894737
"other","informative",0.976,"orange_carrot",0.130434782608696,0.130434782608696,0.173913043478261
"other","informative",0.979,"yellow_banana",0,0,0
"other","informative-cc",0.412,"pink_tomato",0.04,0.04,0.08
"other","informative-cc",0.419,"blue_banana",0.0689655172413793,0.0689655172413793,0.103448275862069
"other","informative-cc",0.462,"blue_apple",0.05,0.05,0.1
"other","informative-cc",0.503,"pink_carrot",0.0625,0.0625,0.125
"other","informative-cc",0.565,"brown_carrot",0.12,0.12,0.16
"other","informative-cc",0.637,"black_pepper",0.0384615384615385,0.0384615384615385,0.0769230769230769
"other","informative-cc",0.657,"brown_banana",0.0909090909090909,0.0909090909090909,0.136363636363636
"other","informative-cc",0.686,"orange_pear",0.09375,0.09375,0.09375
"other","informative-cc",0.696,"red_avocado",0.117647058823529,0.117647058823529,0.176470588235294
"other","informative-cc",0.738,"green_tomato",0.0588235294117647,0.0588235294117647,0.117647058823529
"other","informative-cc",0.812,"black_avocado",0.217391304347826,0.173913043478261,0.173913043478261
"other","informative-cc",0.841,"orange_pepper",0.105263157894737,0.105263157894737,0.157894736842105
"other","informative-cc",0.924,"yellow_pear",0.08,0.08,0.12
"other","informative-cc",0.934,"red_pepper",0,0,0
"other","informative-cc",0.953,"green_pear",0.0416666666666667,0.0416666666666667,0.0833333333333333
"other","informative-cc",0.953,"red_apple",0.0454545454545455,0.0454545454545455,0.0909090909090909
"other","informative-cc",0.961,"green_apple",0.05,0.05,0.1
"other","informative-cc",0.962,"red_tomato",0.125,0.125,0.1875
"other","informative-cc",0.966,"green_avocado",0.115384615384615,0.115384615384615,0.115384615384615
"other","informative-cc",0.976,"orange_carrot",0.0833333333333333,0.0833333333333333,0.125
"other","informative-cc",0.979,"yellow_banana",0.166666666666667,0.125,0.166666666666667
"other","overinformative",0.412,"pink_tomato",0.0555555555555556,0.0555555555555556,0.111111111111111
"other","overinformative",0.419,"blue_banana",0,0,0
"other","overinformative",0.462,"blue_apple",0,0,0
"other","overinformative",0.503,"pink_carrot",0.0833333333333333,0.0833333333333333,0.125
"other","overinformative",0.565,"brown_carrot",0.142857142857143,0.142857142857143,0.19047619047619
"other","overinformative",0.637,"black_pepper",0,0,0
"other","overinformative",0.657,"brown_banana",0,0,0
"other","overinformative",0.686,"orange_pear",0,0,0
"other","overinformative",0.696,"red_avocado",0.0454545454545455,0.0454545454545455,0.0909090909090909
"other","overinformative",0.738,"green_tomato",0.0740740740740741,0.0740740740740741,0.111111111111111
"other","overinformative",0.812,"black_avocado",0,0,0
"other","overinformative",0.841,"orange_pepper",0,0,0
"other","overinformative",0.924,"yellow_pear",0,0,0
"other","overinformative",0.934,"red_pepper",0,0,0
"other","overinformative",0.953,"green_pear",0.0434782608695652,0.0434782608695652,0.0869565217391304
"other","overinformative",0.953,"red_apple",0.04,0.04,0.08
"other","overinformative",0.961,"green_apple",0.08,0.08,0.12
"other","overinformative",0.962,"red_tomato",0.107142857142857,0.107142857142857,0.107142857142857
"other","overinformative",0.966,"green_avocado",0.0909090909090909,0.0909090909090909,0.136363636363636
"other","overinformative",0.976,"orange_carrot",0,0,0
"other","overinformative",0.979,"yellow_banana",0.0666666666666667,0.0666666666666667,0.1
"other","overinformative-cc",0.412,"pink_tomato",0.0344827586206897,0.0344827586206897,0.0689655172413793
"other","overinformative-cc",0.419,"blue_banana",0,0,0
"other","overinformative-cc",0.462,"blue_apple",0.0454545454545455,0.0454545454545455,0.0909090909090909
"other","overinformative-cc",0.503,"pink_carrot",0.0434782608695652,0.0434782608695652,0.0869565217391304
"other","overinformative-cc",0.565,"brown_carrot",0,0,0
"other","overinformative-cc",0.637,"black_pepper",0.0588235294117647,0.0588235294117647,0.117647058823529
"other","overinformative-cc",0.657,"brown_banana",0.0740740740740741,0.0740740740740741,0.111111111111111
"other","overinformative-cc",0.686,"orange_pear",0.0588235294117647,0.0588235294117647,0.117647058823529
"other","overinformative-cc",0.696,"red_avocado",0.259259259259259,0.148148148148148,0.148148148148148
"other","overinformative-cc",0.738,"green_tomato",0.0384615384615385,0.0384615384615385,0.0769230769230769
"other","overinformative-cc",0.812,"black_avocado",0.0909090909090909,0.0909090909090909,0.136363636363636
"other","overinformative-cc",0.841,"orange_pepper",0,0,0
"other","overinformative-cc",0.924,"yellow_pear",0,0,0
"other","overinformative-cc",0.934,"red_pepper",0.0384615384615385,0.0384615384615385,0.0769230769230769
"other","overinformative-cc",0.953,"green_pear",0,0,0
"other","overinformative-cc",0.953,"red_apple",0.0476190476190476,0.0476190476190476,0.0952380952380952
"other","overinformative-cc",0.961,"green_apple",0,0,0
"other","overinformative-cc",0.962,"red_tomato",0.05,0.05,0.1
"other","overinformative-cc",0.966,"green_avocado",0.12,0.12,0.12
"other","overinformative-cc",0.976,"orange_carrot",0.107142857142857,0.107142857142857,0.142857142857143
"other","overinformative-cc",0.979,"yellow_banana",0.0454545454545455,0.0454545454545455,0.0909090909090909
"typeOnly","informative",0.412,"pink_tomato",0,0,0
"typeOnly","informative",0.419,"blue_banana",0,0,0
"typeOnly","informative",0.462,"blue_apple",0,0,0
"typeOnly","informative",0.503,"pink_carrot",0,0,0
"typeOnly","informative",0.565,"brown_carrot",0,0,0
"typeOnly","informative",0.637,"black_pepper",0,0,0
"typeOnly","informative",0.657,"brown_banana",0,0,0
"typeOnly","informative",0.686,"orange_pear",0,0,0
"typeOnly","informative",0.696,"red_avocado",0,0,0
"typeOnly","informative",0.738,"green_tomato",0,0,0
"typeOnly","informative",0.812,"black_avocado",0.0645161290322581,0.0645161290322581,0.0967741935483871
"typeOnly","informative",0.841,"orange_pepper",0,0,0
"typeOnly","informative",0.924,"yellow_pear",0,0,0
"typeOnly","informative",0.934,"red_pepper",0,0,0
"typeOnly","informative",0.953,"green_pear",0,0,0
"typeOnly","informative",0.953,"red_apple",0,0,0
"typeOnly","informative",0.961,"green_apple",0.05,0.05,0.1
"typeOnly","informative",0.962,"red_tomato",0.0333333333333333,0.0333333333333333,0.0666666666666667
"typeOnly","informative",0.966,"green_avocado",0.0526315789473684,0.0526315789473684,0.105263157894737
"typeOnly","informative",0.976,"orange_carrot",0.0434782608695652,0.0434782608695652,0.0869565217391304
"typeOnly","informative",0.979,"yellow_banana",0.0588235294117647,0.0588235294117647,0.117647058823529
"typeOnly","informative-cc",0.412,"pink_tomato",0,0,0
"typeOnly","informative-cc",0.419,"blue_banana",0,0,0
"typeOnly","informative-cc",0.462,"blue_apple",0,0,0
"typeOnly","informative-cc",0.503,"pink_carrot",0,0,0
"typeOnly","informative-cc",0.565,"brown_carrot",0,0,0
"typeOnly","informative-cc",0.637,"black_pepper",0,0,0
"typeOnly","informative-cc",0.657,"brown_banana",0,0,0
"typeOnly","informative-cc",0.686,"orange_pear",0,0,0
"typeOnly","informative-cc",0.696,"red_avocado",0,0,0
"typeOnly","informative-cc",0.738,"green_tomato",0,0,0
"typeOnly","informative-cc",0.812,"black_avocado",0.0434782608695652,0.0434782608695652,0.0869565217391304
"typeOnly","informative-cc",0.841,"orange_pepper",0,0,0
"typeOnly","informative-cc",0.924,"yellow_pear",0,0,0
"typeOnly","informative-cc",0.934,"red_pepper",0.0344827586206897,0.0344827586206897,0.0689655172413793
"typeOnly","informative-cc",0.953,"green_pear",0,0,0
"typeOnly","informative-cc",0.953,"red_apple",0.0909090909090909,0.0909090909090909,0.136363636363636
"typeOnly","informative-cc",0.961,"green_apple",0.05,0.05,0.1
"typeOnly","informative-cc",0.962,"red_tomato",0,0,0
"typeOnly","informative-cc",0.966,"green_avocado",0,0,0
"typeOnly","informative-cc",0.976,"orange_carrot",0.0416666666666667,0.0416666666666667,0.0833333333333333
"typeOnly","informative-cc",0.979,"yellow_banana",0,0,0
"typeOnly","overinformative",0.412,"pink_tomato",0.277777777777778,0.166666666666667,0.222222222222222
"typeOnly","overinformative",0.419,"blue_banana",0.19047619047619,0.142857142857143,0.19047619047619
"typeOnly","overinformative",0.462,"blue_apple",0.222222222222222,0.148148148148148,0.185185185185185
"typeOnly","overinformative",0.503,"pink_carrot",0.25,0.166666666666667,0.166666666666667
"typeOnly","overinformative",0.565,"brown_carrot",0.619047619047619,0.190476190476191,0.19047619047619
"typeOnly","overinformative",0.637,"black_pepper",0.291666666666667,0.166666666666667,0.166666666666667
"typeOnly","overinformative",0.657,"brown_banana",0.608695652173913,0.175,0.217391304347826
"typeOnly","overinformative",0.686,"orange_pear",0.470588235294118,0.235294117647059,0.235294117647059
"typeOnly","overinformative",0.696,"red_avocado",0.272727272727273,0.181818181818182,0.181818181818182
"typeOnly","overinformative",0.738,"green_tomato",0.296296296296296,0.148148148148148,0.185185185185185
"typeOnly","overinformative",0.812,"black_avocado",0.555555555555556,0.222222222222222,0.222222222222222
