gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
5239-5,1450000000000,66,subSuperTrial,distr22,pigeon,target,3,4,bird,animal,sheep,distrClass2,2,2,NA,animal,rhino,distrClass2,4,3,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pigeon,NA,NA,,,,
5975-e,1450000000000,18,subSuperTrial,distr22,tulip,target,4,2,flower,plant,grasses,distrClass2,3,4,NA,plant,rosemary,distrClass2,2,3,NA,plant,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,tulip,NA,NA,,,,
0198-d,1450000000000,65,subSuperTrial,distr22,daisy,target,4,2,flower,plant,ivy,distrClass2,2,3,NA,plant,rosemary,distrClass2,3,4,NA,plant,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
3504-8,1450000000000,1,subSuperTrial,distr22,tulip,target,2,2,flower,plant,pottedPlant,distrClass2,4,3,NA,plant,rosemary,distrClass2,3,4,NA,plant,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,tulip,NA,NA,,,,
4393-a,1450000000000,31,subSuperTrial,distr22,pandaBear,target,3,3,bear,animal,iguana,distrClass2,2,4,NA,animal,sheep,distrClass2,4,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pandaBear,NA,NA,,,,
7111-e,1450000000000,6,subSuperTrial,distr22,eagle,target,2,4,bird,animal,rhino,distrClass2,4,2,NA,animal,sheep,distrClass2,3,3,NA,animal,1,1,0,FREEDOM FLY,,1450000000000,FREEDOM FLY,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,eagle,NA,NA,,,,
3293-5,1450000000000,65,subSuperTrial,distr22,goldFish,target,3,4,fish,animal,rabbit,distrClass2,2,3,NA,animal,snake,distrClass2,4,2,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,goldFish,NA,NA,,,,
7830-a,1450000000000,68,subSuperTrial,distr22,hawaiiShirt,target,4,3,shirt,clothing,gloves,distrClass2,3,4,NA,clothing,socks,distrClass2,2,2,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
4517-f,1450000000000,58,subSuperTrial,distr22,clownFish,target,4,4,fish,animal,iguana,distrClass2,3,2,NA,animal,squirrel,distrClass2,2,3,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,clownFish,NA,NA,,,,
5512-7,1450000000000,12,subSuperTrial,distr22,diningTable,target,2,4,table,furniture,bookcase,distrClass2,3,3,NA,furniture,wardrobe,distrClass2,4,2,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,diningTable,NA,NA,,,,
3158-b,1450000000000,8,subSuperTrial,distr22,coffeeTable,target,4,2,table,furniture,bookcase,distrClass2,3,4,NA,furniture,wardrobe,distrClass2,2,3,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
5975-e,1450000000000,42,subSuperTrial,distr22,bedsideTable,target,2,4,table,furniture,lamp,distrClass2,4,3,NA,furniture,bookcase,distrClass2,3,2,NA,furniture,1,1,0,wood,,1450000000000,wood,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,bedsideTable,NA,NA,,,,
5628-2,1450000000000,17,subSuperTrial,distr22,bedsideTable,target,2,2,table,furniture,wardrobe,distrClass2,4,4,NA,furniture,bookcase,distrClass2,3,3,NA,furniture,1,1,0,drawers,,1450000000000,drawers,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,bedsideTable,NA,NA,,,,
8286-0,1450000000000,18,subSuperTrial,distr22,hummingBird,target,4,3,bird,animal,snake,distrClass2,3,4,NA,animal,chick,distrClass2,2,2,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hummingBird,NA,NA,,,,
5628-2,1450000000000,10,subSuperTrial,distr22,skittles,target,4,3,candy,snack,pretzels,distrClass2,2,2,NA,snack,chips,distrClass2,3,4,NA,snack,1,1,0,skittles,,1450000000000,skittles,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,skittles,NA,NA,,,,
7111-e,1450000000000,56,subSuperTrial,distr22,jellyBeans,target,2,4,candy,snack,popcorn,distrClass2,4,3,NA,snack,chips,distrClass2,3,2,NA,snack,1,1,0,rainbow,,1450000000000,rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,jellyBeans,NA,NA,,,,
4452-5,1450000000000,61,subSuperTrial,distr22,gummyBears,target,2,4,candy,snack,chips,distrClass2,3,3,NA,snack,cookies,distrClass2,4,2,NA,snack,1,1,0,gummy bears,,1450000000000,gummy bears,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,gummyBears,NA,NA,,,,
8684-3,1450000000000,63,subSuperTrial,distr22,jellyBeans,target,3,2,candy,snack,chips,distrClass2,4,4,NA,snack,cookies,distrClass2,2,3,NA,snack,1,1,0,sweet,,1450000000000,sweet,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,jellyBeans,NA,NA,,,,
2919-a,1450000000000,13,subSuperTrial,distr22,pigeon,target,2,4,bird,animal,crocodile,distrClass2,4,3,NA,animal,cow,distrClass2,3,2,NA,animal,1,1,0,pigeon,,1450000000000,pigeon,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pigeon,NA,NA,,,,
3293-5,1450000000000,60,subSuperTrial,distr22,dalmatian,target,3,3,dog,animal,pig,distrClass2,2,2,NA,animal,cow,distrClass2,4,4,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dalmatian,NA,NA,,,,
3293-5,1450000000000,56,subSuperTrial,distr22,polarBear,target,4,3,bear,animal,kitten,distrClass2,3,4,NA,animal,crocodile,distrClass2,2,2,NA,animal,1,1,0,polar,,1450000000000,polar,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,polarBear,NA,NA,,,,
4452-5,1450000000000,24,subSuperTrial,distr22,parrot,target,2,2,bird,animal,lion,distrClass2,3,4,NA,animal,crocodile,distrClass2,4,3,NA,animal,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,parrot,NA,NA,,,,
8430-f,1450000000000,22,subSuperTrial,distr22,tShirt,target,3,4,shirt,clothing,bathrobe,distrClass2,2,2,NA,clothing,dress,distrClass2,4,3,NA,clothing,1,1,0,blue shirt,,1450000000000,blue shirt,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,tShirt,NA,NA,,,,
7830-a,1450000000000,25,subSuperTrial,distr22,swordFish,target,4,3,fish,animal,kitten,distrClass2,3,2,NA,animal,elephant,distrClass2,2,4,NA,animal,1,1,0,sword,,1450000000000,sword,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,swordFish,NA,NA,,,,
3293-5,1450000000000,49,subSuperTrial,distr22,eagle,target,4,2,bird,animal,pig,distrClass2,3,4,NA,animal,elephant,distrClass2,2,3,NA,animal,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,eagle,NA,NA,,,,
5076-0,1450000000000,16,subSuperTrial,distr22,sportsCar,target,3,4,car,vehicle,motorcycle,distrClass2,4,2,NA,vehicle,firetruck,distrClass2,2,3,NA,vehicle,1,1,0,Silver object,,1450000000000,Silver object,FALSE,TRUE,FALSE,,,x,,,,,,TRUE,,sportsCar,NA,NA,,,,
5239-5,1450000000000,71,subSuperTrial,distr22,sportsCar,target,4,3,car,vehicle,motorcycle,distrClass2,2,4,NA,vehicle,firetruck,distrClass2,3,2,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
0198-d,1450000000000,9,subSuperTrial,distr22,convertible,target,3,2,car,vehicle,motorcycle,distrClass2,2,3,NA,vehicle,firetruck,distrClass2,4,4,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,convertible,NA,NA,,,,
5076-0,1450000000000,23,subSuperTrial,distr22,hawaiiShirt,target,4,4,shirt,clothing,bathrobe,distrClass2,2,2,NA,clothing,gloves,distrClass2,3,3,NA,clothing,1,1,0,Short sleeves,,1450000000000,Short sleeves,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,hawaiiShirt,NA,NA,,,,
