gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
4393-a,1450000000000,42,subSuperTrial,distr23,coffeeTable,target,2,4,table,furniture,bookcase,distrClass2,3,3,NA,furniture,bison,distrClass3,4,2,NA,animal,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
5512-7,1450000000000,44,subSuperTrial,distr23,coffeeTable,target,2,2,table,furniture,wardrobe,distrClass2,3,4,NA,furniture,bison,distrClass3,4,3,NA,animal,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
4393-a,1450000000000,52,subSuperTrial,distr23,parrot,target,2,3,bird,animal,cow,distrClass2,3,4,NA,animal,ambulance,distrClass3,4,2,NA,vehicle,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,parrot,NA,NA,,,,
5628-2,1450000000000,35,subSuperTrial,distr23,hawaiiShirt,target,2,2,shirt,clothing,lamp,distrClass3,3,4,NA,furniture,bathrobe,distrClass2,4,3,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
2195-2,1450000000000,19,subSuperTrial,distr23,blackBear,target,2,3,bear,animal,cow,distrClass2,3,4,NA,animal,bed,distrClass3,4,2,NA,furniture,1,1,0,BEAR,,1450000000000,BEAR,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,blackBear,NA,NA,,,,
4517-f,1450000000000,34,subSuperTrial,distr23,bedsideTable,target,2,3,table,furniture,horse,distrClass3,3,4,NA,animal,bed,distrClass2,4,2,NA,furniture,1,1,0,chest,,1450000000000,chest,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,bedsideTable,NA,NA,,,,
4393-a,1450000000000,55,subSuperTrial,distr23,mnMs,target,3,4,candy,snack,pretzels,distrClass2,4,3,NA,snack,chick,distrClass3,2,2,NA,animal,1,1,0,m&ms,,1450000000000,m&ms,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,mnMs,NA,NA,,,,
8286-0,1450000000000,49,subSuperTrial,distr23,sunflower,target,3,4,flower,plant,rosemary,distrClass2,4,3,NA,plant,cookies,distrClass3,2,2,NA,snack,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sunflower,NA,NA,,,,
5975-e,1450000000000,11,subSuperTrial,distr23,dressShirt,target,4,3,shirt,clothing,pretzels,distrClass3,3,2,NA,snack,dress,distrClass2,2,4,NA,clothing,1,1,0,light blue with buttons,,1450000000000,light blue with buttons,FALSE,TRUE,FALSE,TRUE,,x,,,,,,,,dressShirt,NA,NA,,,,
3293-5,1450000000000,59,subSuperTrial,distr23,parrot,target,4,2,bird,animal,sheep,distrClass2,3,3,NA,animal,dress,distrClass3,2,4,NA,clothing,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,parrot,NA,NA,,,,
5628-2,1450000000000,25,subSuperTrial,distr23,jellyBeans,target,3,2,candy,snack,cookies,distrClass2,2,4,NA,snack,firetruck,distrClass3,4,3,NA,vehicle,1,1,0,jellybeans,,1450000000000,jellybeans,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,jellyBeans,NA,NA,,,,
1223-7,1450000000000,13,subSuperTrial,distr23,sportsCar,target,3,2,car,vehicle,cookies,distrClass3,4,4,NA,snack,firetruck,distrClass2,2,3,NA,vehicle,1,1,0,the silver car,,1450000000000,the silver car,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,TRUE,sportsCar,NA,NA,,,,
8430-f,1450000000000,9,subSuperTrial,distr23,tulip,target,2,4,flower,plant,rosemary,distrClass2,3,2,NA,plant,lamp,distrClass3,4,3,NA,furniture,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tulip,NA,NA,,,,
5512-7,1450000000000,55,subSuperTrial,distr23,hummingBird,target,4,4,bird,animal,chips,distrClass3,2,3,NA,snack,lion,distrClass2,3,2,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hummingBird,NA,NA,,,,
8258-f,1450000000000,35,subSuperTrial,distr23,tShirt,target,2,4,shirt,clothing,dress,distrClass2,4,2,NA,clothing,lion,distrClass3,3,3,NA,animal,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,tShirt,NA,NA,,,,
9807-5,1450000000000,12,subSuperTrial,distr23,sunflower,target,2,3,flower,plant,pottedPlant,distrClass2,3,2,NA,plant,lion,distrClass3,4,4,NA,animal,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sunflower,NA,NA,,,,
8430-f,1450000000000,60,subSuperTrial,distr23,minivan,target,3,2,car,vehicle,pretzels,distrClass3,4,3,NA,snack,motorcycle,distrClass2,2,4,NA,vehicle,1,1,0,van,,1450000000000,van,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,minivan,NA,NA,,,,
0198-d,1450000000000,45,subSuperTrial,distr23,hummingBird,target,3,4,bird,animal,pretzels,distrClass3,2,3,NA,snack,pig,distrClass2,4,2,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hummingBird,NA,NA,,,,
5628-2,1450000000000,57,subSuperTrial,distr23,parrot,target,4,4,bird,animal,rosemary,distrClass3,2,2,NA,plant,pig,distrClass2,3,3,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,parrot,NA,NA,,,,
9807-5,1450000000000,21,subSuperTrial,distr23,parrot,target,4,3,bird,animal,elephant,distrClass2,2,4,NA,animal,popcorn,distrClass3,3,2,NA,snack,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,parrot,NA,NA,,,,
7111-e,1450000000000,33,subSuperTrial,distr23,gummyBears,target,2,4,candy,snack,ambulance,distrClass3,3,2,NA,vehicle,pretzels,distrClass2,4,3,NA,snack,1,1,0,rainbow,,1450000000000,rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,gummyBears,NA,NA,,,,
7111-e,1450000000000,11,subSuperTrial,distr23,diningTable,target,2,2,table,furniture,bookcase,distrClass2,3,4,NA,furniture,pretzels,distrClass3,4,3,NA,snack,1,1,0,drink holder,,1450000000000,drink holder,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,diningTable,NA,NA,,,,
5628-2,1450000000000,44,subSuperTrial,distr23,dressShirt,target,3,2,shirt,clothing,gloves,distrClass2,2,4,NA,clothing,pretzels,distrClass3,4,3,NA,snack,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dressShirt,NA,NA,,,,
4393-a,1450000000000,33,subSuperTrial,distr23,skittles,target,3,4,candy,snack,grasses,distrClass3,4,3,NA,plant,pretzels,distrClass2,2,2,NA,snack,1,1,0,M&M like candy with an S on them,,1450000000000,M&M like candy with an S on them,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,skittles,NA,NA,,,,
9551-7,1450000000000,35,subSuperTrial,distr23,hawaiiShirt,target,2,4,shirt,clothing,socks,distrClass2,4,2,NA,clothing,pretzels,distrClass3,3,3,NA,snack,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
5934-3,1450000000000,61,subSuperTrial,distr23,daisy,target,3,4,flower,plant,horse,distrClass3,2,3,NA,animal,rosemary,distrClass2,4,2,NA,plant,1,1,0,daisy,,1450000000000,daisy,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,daisy,NA,NA,,,,
8258-f,1450000000000,37,subSuperTrial,distr23,pigeon,target,2,2,bird,animal,pig,distrClass2,3,4,NA,animal,rosemary,distrClass3,4,3,NA,plant,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pigeon,NA,NA,,,,
7111-e,1450000000000,36,subSuperTrial,distr23,sunflower,target,3,2,flower,plant,sheep,distrClass3,4,4,NA,animal,rosemary,distrClass2,2,3,NA,plant,1,1,0,yellow,,1450000000000,yellow,FALSE,TRUE,FALSE,,,x,,,,,,,,sunflower,NA,NA,,,,
7111-e,1450000000000,72,subSuperTrial,distr23,coffeeTable,target,3,3,table,furniture,wardrobe,distrClass2,2,2,NA,furniture,sheep,distrClass3,4,4,NA,animal,1,1,0,Wood sit,,1450000000000,Wood sit,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,coffeeTable,NA,NA,,,,
4452-5,1450000000000,52,subSuperTrial,distr23,daisy,target,3,2,flower,plant,grasses,distrClass2,4,4,NA,plant,snake,distrClass3,2,3,NA,animal,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
4842-f,1450000000000,29,subSuperTrial,distr23,sunflower,target,3,2,flower,plant,pottedPlant,distrClass2,2,4,NA,plant,socks,distrClass3,4,3,NA,clothing,1,1,0,sunniest plant,,1450000000000,sunniest plant,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,TRUE,,,,,sunflower,NA,NA,,,,
3293-5,1450000000000,34,subSuperTrial,distr23,pigeon,target,3,4,bird,animal,kitten,distrClass2,2,2,NA,animal,train,distrClass3,4,3,NA,vehicle,1,1,0,pigeon,,1450000000000,pigeon,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pigeon,NA,NA,,,,
8258-f,1450000000000,14,subSuperTrial,distr23,blackBear,target,4,4,bear,animal,rabbit,distrClass2,3,2,NA,animal,train,distrClass3,2,3,NA,vehicle,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,blackBear,NA,NA,,,,
8286-0,1450000000000,70,subSuperTrial,distr23,rose,target,3,4,flower,plant,rosemary,distrClass2,2,2,NA,plant,bookcase,distrClass3,4,3,NA,furniture,1,1,0,red,,1450000000000,red,FALSE,TRUE,FALSE,,,x,,,,,,,,rose,NA,NA,,,,
0198-d,1450000000000,23,subSuperTrial,distr23,mnMs,target,3,4,candy,snack,popcorn,distrClass2,4,2,NA,snack,chick,distrClass3,2,3,NA,animal,1,1,0,m&ms,,1450000000000,m&ms,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,mnMs,NA,NA,,,,
8286-0,1450000000000,55,subSuperTrial,distr23,dalmatian,target,2,4,dog,animal,dress,distrClass3,3,2,NA,clothing,chick,distrClass2,4,3,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dalmatian,NA,NA,,,,
7830-a,1450000000000,65,subSuperTrial,distr23,husky,target,3,4,dog,animal,lamp,distrClass3,4,2,NA,furniture,chick,distrClass2,2,3,NA,animal,1,1,0,doggy,,1450000000000,doggy,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,husky,NA,NA,,,,
2919-a,1450000000000,63,subSuperTrial,distr23,jellyBeans,target,2,3,candy,snack,bed,distrClass3,4,4,NA,furniture,cookies,distrClass2,3,2,NA,snack,1,1,0,jelly bean,,1450000000000,jelly bean,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,jellyBeans,NA,NA,,,,
4452-5,1450000000000,69,subSuperTrial,distr23,dressShirt,target,3,2,shirt,clothing,gloves,distrClass2,2,4,NA,clothing,cookies,distrClass3,4,3,NA,snack,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dressShirt,NA,NA,,,,
0198-d,1450000000000,39,subSuperTrial,distr23,rose,target,2,3,flower,plant,grasses,distrClass2,3,2,NA,plant,cow,distrClass3,4,4,NA,animal,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,rose,NA,NA,,,,
4842-f,1450000000000,34,subSuperTrial,distr23,eagle,target,3,3,bird,animal,lamp,distrClass3,4,2,NA,furniture,cow,distrClass2,2,4,NA,animal,1,1,0,american symbol,,1450000000000,american symbol,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,eagle,NA,NA,,,,
8935-b,1450000000000,32,subSuperTrial,distr23,germanShepherd,target,4,3,dog,animal,lion,distrClass2,2,2,NA,animal,dress,distrClass3,3,4,NA,clothing,1,1,0,Domestic legs,,1450000000000,Domestic legs,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,germanShepherd,NA,NA,,,,
3158-b,1450000000000,15,subSuperTrial,distr23,grizzlyBear,target,2,2,bear,animal,crocodile,distrClass2,3,4,NA,animal,dress,distrClass3,4,3,NA,clothing,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,grizzlyBear,NA,NA,,,,
5934-3,1450000000000,16,subSuperTrial,distr23,goldFish,target,2,2,fish,animal,lion,distrClass2,4,3,NA,animal,dress,distrClass3,3,4,NA,clothing,2,2,0,heh,,,,,,,,,x,,,,,,,,,,,,,,
8430-f,1450000000000,52,subSuperTrial,distr23,hawaiiShirt,target,2,2,shirt,clothing,rhino,distrClass3,4,3,NA,animal,dress,distrClass2,3,4,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
8258-f,1450000000000,50,subSuperTrial,distr23,sportsCar,target,2,4,car,vehicle,train,distrClass2,3,2,NA,vehicle,elephant,distrClass3,4,3,NA,animal,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
8684-3,1450000000000,1,subSuperTrial,distr23,pandaBear,target,3,3,bear,animal,bookcase,distrClass3,4,2,NA,furniture,elephant,distrClass2,2,4,NA,animal,1,1,0,the white and black animal,,1450000000000,the white and black animal,FALSE,TRUE,FALSE,,,FALSE,,,TRUE,,,,TRUE,pandaBear,NA,NA,,,,
4452-5,1450000000000,49,subSuperTrial,distr23,suv,target,4,3,car,vehicle,elephant,distrClass3,3,4,NA,animal,firetruck,distrClass2,2,2,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,suv,NA,NA,,,,
4393-a,1450000000000,49,subSuperTrial,distr23,tulip,target,4,4,flower,plant,grasses,distrClass2,3,2,NA,plant,firetruck,distrClass3,2,3,NA,vehicle,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,tulip,NA,NA,,,,
5239-5,1450000000000,24,subSuperTrial,distr23,polarBear,target,4,4,bear,animal,chick,distrClass2,2,2,NA,animal,grasses,distrClass3,3,3,NA,plant,1,1,0,polo bear,,1450000000000,polo bear,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,polarBear,NA,NA,,,,
8258-f,1450000000000,34,subSuperTrial,distr23,tulip,target,3,2,flower,plant,chips,distrClass3,2,4,NA,snack,grasses,distrClass2,4,3,NA,plant,1,1,0,red,,1450000000000,red,FALSE,TRUE,FALSE,,,x,,,,,,,,tulip,NA,NA,,,,
9807-5,1450000000000,23,subSuperTrial,distr23,bedsideTable,target,2,3,table,furniture,bookcase,distrClass2,3,2,NA,furniture,horse,distrClass3,4,4,NA,animal,1,1,0,dresser,,1450000000000,dresser,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,bedsideTable,NA,NA,,,,
1223-7,1450000000000,49,subSuperTrial,distr23,husky,target,2,2,dog,animal,cookies,distrClass3,4,3,NA,snack,iguana,distrClass2,3,4,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,husky,NA,NA,,,,
5628-2,1450000000000,6,subSuperTrial,distr23,germanShepherd,target,3,3,dog,animal,lamp,distrClass3,2,2,NA,furniture,iguana,distrClass2,4,4,NA,animal,1,1,0,doggie,,1450000000000,doggie,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
5975-e,1450000000000,64,subSuperTrial,distr23,sunflower,target,2,4,flower,plant,pottedPlant,distrClass2,3,3,NA,plant,lamp,distrClass3,4,2,NA,furniture,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sunflower,NA,NA,,,,
0198-d,1450000000000,22,subSuperTrial,distr23,bedsideTable,target,2,3,table,furniture,pottedPlant,distrClass3,3,4,NA,plant,lamp,distrClass2,4,2,NA,furniture,1,1,0,dresser,,1450000000000,dresser,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,bedsideTable,NA,NA,,,,
5934-3,1450000000000,62,subSuperTrial,distr23,hawaiiShirt,target,4,3,shirt,clothing,socks,distrClass2,2,4,NA,clothing,lamp,distrClass3,3,2,NA,furniture,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
8935-b,1450000000000,9,subSuperTrial,distr23,polarBear,target,3,2,bear,animal,grasses,distrClass3,4,4,NA,plant,lion,distrClass2,2,3,NA,animal,1,1,0,Big white,,1450000000000,Big white,TRUE,TRUE,FALSE,,,x,,,,,,,,polarBear,NA,NA,,,,
7111-e,1450000000000,62,subSuperTrial,distr23,catfish,target,4,4,fish,animal,pretzels,distrClass3,2,3,NA,snack,lobster,distrClass2,3,2,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,catfish,NA,NA,,,,
2919-a,1450000000000,45,subSuperTrial,distr23,sportsCar,target,3,3,car,vehicle,train,distrClass2,4,2,NA,vehicle,lobster,distrClass3,2,4,NA,animal,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
4517-f,1450000000000,63,subSuperTrial,distr23,tShirt,target,4,2,shirt,clothing,dress,distrClass2,3,3,NA,clothing,motorcycle,distrClass3,2,4,NA,vehicle,3,3,0,blue___sry___tshirt,,1449255463628___1449255466506___1449255467440,blue,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tShirt,NA,NA,,,,
7830-a,1450000000000,52,subSuperTrial,distr23,pandaBear,target,4,2,bear,animal,dress,distrClass3,2,4,NA,clothing,pig,distrClass2,3,3,NA,animal,1,1,0,panda!,,1450000000000,panda!,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pandaBear,NA,NA,,,,
3504-8,1450000000000,14,subSuperTrial,distr23,husky,target,4,4,dog,animal,crocodile,distrClass2,2,3,NA,animal,popcorn,distrClass3,3,2,NA,snack,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,husky,NA,NA,,,,
4842-f,1450000000000,20,subSuperTrial,distr23,jellyBeans,target,3,2,candy,snack,lobster,distrClass3,2,3,NA,animal,popcorn,distrClass2,4,4,NA,snack,1,1,0,most sweet,,1450000000000,most sweet,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,jellyBeans,NA,NA,,,,
8684-3,1450000000000,34,subSuperTrial,distr23,mnMs,target,3,4,candy,snack,sheep,distrClass3,4,3,NA,animal,popcorn,distrClass2,2,2,NA,snack,1,1,0,candy,,1450000000000,candy,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,mnMs,NA,NA,,,,
3504-8,1450000000000,16,subSuperTrial,distr23,coffeeTable,target,2,4,table,furniture,wardrobe,distrClass2,4,2,NA,furniture,popcorn,distrClass3,3,3,NA,snack,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
3695-5,1450000000000,22,subSuperTrial,distr23,coffeeTable,target,3,2,table,furniture,wardrobe,distrClass2,4,3,NA,furniture,popcorn,distrClass3,2,4,NA,snack,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
3293-5,1450000000000,1,subSuperTrial,distr23,clownFish,target,2,2,fish,animal,bison,distrClass2,3,3,NA,animal,pottedPlant,distrClass3,4,4,NA,plant,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,clownFish,NA,NA,,,,bald eagle -> being even more specific
3293-5,1450000000000,58,subSuperTrial,distr23,skittles,target,4,2,candy,snack,bison,distrClass3,2,4,NA,animal,pretzels,distrClass2,3,3,NA,snack,1,1,0,candy,,1450000000000,candy,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,skittles,NA,NA,,,,
5512-7,1450000000000,37,subSuperTrial,distr23,jellyBeans,target,2,3,candy,snack,lobster,distrClass3,4,2,NA,animal,pretzels,distrClass2,3,4,NA,snack,1,1,0,candy,,1450000000000,candy,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,jellyBeans,NA,NA,,,,
4517-f,1450000000000,23,subSuperTrial,distr23,mnMs,target,2,4,candy,snack,rhino,distrClass3,3,3,NA,animal,pretzels,distrClass2,4,2,NA,snack,1,1,0,m&m,,1450000000000,m&m,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,mnMs,NA,NA,,,,
3504-8,1450000000000,4,subSuperTrial,distr23,gummyBears,target,4,3,candy,snack,lamp,distrClass3,2,4,NA,furniture,pretzels,distrClass2,3,2,NA,snack,1,1,0,gummi bears,,1450000000000,gummi bears,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,gummyBears,NA,NA,,,,
9551-7,1450000000000,63,subSuperTrial,distr23,grizzlyBear,target,2,2,bear,animal,bookcase,distrClass3,3,4,NA,furniture,rabbit,distrClass2,4,3,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,grizzlyBear,NA,NA,,,,
5628-2,1450000000000,30,subSuperTrial,distr23,swordFish,target,4,4,fish,animal,cookies,distrClass3,3,2,NA,snack,rhino,distrClass2,2,3,NA,animal,1,1,0,marlin,,1450000000000,marlin,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,swordFish,NA,NA,,,,
8684-3,1450000000000,66,subSuperTrial,distr23,germanShepherd,target,2,2,dog,animal,motorcycle,distrClass3,4,4,NA,vehicle,rhino,distrClass2,3,3,NA,animal,1,1,0,barks,,1450000000000,barks,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,germanShepherd,NA,NA,,,,
2919-a,1450000000000,17,subSuperTrial,distr23,rose,target,4,4,flower,plant,bathrobe,distrClass3,3,2,NA,clothing,rosemary,distrClass2,2,3,NA,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,rose,NA,NA,,,,
0198-d,1450000000000,11,subSuperTrial,distr23,swordFish,target,3,3,fish,animal,chick,distrClass2,2,4,NA,animal,rosemary,distrClass3,4,2,NA,plant,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,swordFish,NA,NA,,,,
8935-b,1450000000000,44,subSuperTrial,distr23,tulip,target,3,4,flower,plant,lobster,distrClass3,4,3,NA,animal,rosemary,distrClass2,2,2,NA,plant,1,1,0,Red and green,,1450000000000,Red and green,FALSE,TRUE,FALSE,,,x,,,,,,,,tulip,NA,NA,,,,
7111-e,1450000000000,32,subSuperTrial,distr23,rose,target,4,4,flower,plant,socks,distrClass3,2,2,NA,clothing,rosemary,distrClass2,3,3,NA,plant,1,1,0,red,,1450000000000,red,FALSE,TRUE,FALSE,,,x,,,,,,,,rose,NA,NA,,,,
8258-f,1450000000000,17,subSuperTrial,distr23,husky,target,2,3,dog,animal,motorcycle,distrClass3,3,2,NA,vehicle,sheep,distrClass2,4,4,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,husky,NA,NA,,,,
5975-e,1450000000000,2,subSuperTrial,distr23,rose,target,2,2,flower,plant,rosemary,distrClass2,3,4,NA,plant,sheep,distrClass3,4,3,NA,animal,1,1,0,its a flower,,1450000000000,its a flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,rose,NA,NA,,,,
8430-f,1450000000000,5,subSuperTrial,distr23,grizzlyBear,target,3,4,bear,animal,gloves,distrClass3,4,3,NA,clothing,snake,distrClass2,2,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,grizzlyBear,NA,NA,,,,
5076-0,1450000000000,40,subSuperTrial,distr23,eagle,target,4,4,bird,animal,rosemary,distrClass3,2,3,NA,plant,snake,distrClass2,3,2,NA,animal,1,1,0,Flies,,1450000000000,Flies,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,eagle,NA,NA,,,,
4842-f,1450000000000,11,subSuperTrial,distr23,hummingBird,target,3,4,bird,animal,motorcycle,distrClass3,2,2,NA,vehicle,squirrel,distrClass2,4,3,NA,animal,2,1,1,wouldn't want to be poked in the eye by its face,oops on the last one. sorry,1449259764106___1449259765419,wouldn't want to be poked in the eye by its face,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,hummingBird,NA,NA,,,,
5239-5,1450000000000,63,subSuperTrial,distr23,suv,target,3,4,car,vehicle,squirrel,distrClass3,4,2,NA,animal,train,distrClass2,2,3,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,suv,NA,NA,,,,
3695-5,1450000000000,44,subSuperTrial,distr23,swordFish,target,4,4,fish,animal,lion,distrClass2,2,2,NA,animal,train,distrClass3,3,3,NA,vehicle,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,swordFish,NA,NA,,,,
5512-7,1450000000000,58,subSuperTrial,distr23,convertible,target,2,4,car,vehicle,pottedPlant,distrClass3,3,3,NA,plant,train,distrClass2,4,2,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,convertible,NA,NA,,,,
0198-d,1450000000000,64,subSuperTrial,distr23,eagle,target,2,3,bird,animal,rabbit,distrClass2,3,4,NA,animal,train,distrClass3,4,2,NA,vehicle,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,eagle,NA,NA,,,,
8286-0,1450000000000,41,subSuperTrial,distr23,picnicTable,target,4,3,table,furniture,ivy,distrClass3,2,2,NA,plant,wardrobe,distrClass2,3,4,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,picnicTable,NA,NA,,,,
