,gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,noLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,X,notes
33,2195-2,1450000000000,17,subSuperTrial,distr12,husky,target,2,2,dog,animal,greyhound,distrClass1,3,4,dog,animal,chick,distrClass2,4,3,NA,animal,1,1,0,WOLF,,1450000000000,WOLF,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,husky,NA,NA,NA,NA,NA,
34,3293-5,1450000000000,47,subSuperTrial,distr12,mnMs,target,4,2,candy,snack,candyCorn,distrClass1,3,4,candy,snack,chips,distrClass2,2,3,NA,snack,1,1,0,m & m,,1450000000000,m & m,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,mnMs,NA,NA,NA,NA,NA,
35,8935-b,1450000000000,11,subSuperTrial,distr12,gummyBears,target,4,3,candy,snack,candyCorn,distrClass1,3,2,candy,snack,chips,distrClass2,2,4,NA,snack,1,1,0,Rainbow,,1450000000000,Rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,x,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,gummyBears,NA,NA,NA,NA,NA,
36,0198-d,1450000000000,40,subSuperTrial,distr12,grizzlyBear,target,3,4,bear,animal,koalaBear,distrClass1,4,2,bear,animal,cow,distrClass2,2,3,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,grizzlyBear,NA,NA,NA,NA,NA,
37,5975-e,1450000000000,36,subSuperTrial,distr12,hawaiiShirt,target,2,4,shirt,clothing,campShirt,distrClass1,4,2,shirt,clothing,dress,distrClass2,3,3,NA,clothing,1,1,0,hawiian,,1450000000000,hawiian,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,hawaiiShirt,NA,NA,NA,NA,NA,
38,6456-4,1450000000000,32,subSuperTrial,distr12,sportsCar,target,2,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,4,3,NA,vehicle,1,1,0,silver car,,1450000000000,silver car,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,sportsCar,NA,NA,NA,NA,NA,
39,4452-5,1450000000000,26,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,2,3,NA,vehicle,1,1,0,silver sportscar,,1450000000000,silver sportscar,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,sportsCar,NA,NA,NA,NA,NA,
40,9807-5,1450000000000,14,subSuperTrial,distr12,poloShirt,target,2,3,shirt,clothing,campShirt,distrClass1,3,2,shirt,clothing,gloves,distrClass2,4,4,NA,clothing,1,1,0,polo shirt,,1450000000000,polo shirt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,poloShirt,NA,NA,NA,NA,NA,
42,8684-3,1450000000000,21,subSuperTrial,distr12,clownFish,target,2,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,horse,distrClass2,4,2,NA,animal,1,1,0,has a white stripe behind face,,1450000000000,has a white stripe behind face,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,x,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,clownFish,NA,NA,NA,NA,NA,
43,3695-5,1450000000000,45,subSuperTrial,distr12,goldFish,target,2,2,fish,animal,discusFish,distrClass1,4,4,fish,animal,horse,distrClass2,3,3,NA,animal,1,1,0,goldfish,,1450000000000,goldfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,goldFish,NA,NA,NA,NA,NA,
44,0198-d,1450000000000,53,subSuperTrial,distr12,catfish,target,4,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,iguana,distrClass2,2,2,NA,animal,1,1,0,catfish,,1450000000000,catfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,catfish,NA,NA,NA,NA,NA,
45,8684-3,1450000000000,42,subSuperTrial,distr12,pigeon,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,iguana,distrClass2,2,4,NA,animal,1,1,0,flies and white/grey,,1450000000000,flies and white/grey,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,x,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,pigeon,NA,NA,NA,NA,NA,
47,5628-2,1450000000000,70,subSuperTrial,distr12,pandaBear,target,3,3,bear,animal,koalaBear,distrClass1,2,4,bear,animal,kitten,distrClass2,4,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pandaBear,NA,NA,NA,NA,NA,
48,3695-5,1450000000000,25,subSuperTrial,distr12,sportsCar,target,4,3,car,vehicle,sedan,distrClass1,3,2,car,vehicle,motorcycle,distrClass2,2,4,NA,vehicle,1,1,0,silver car,,1450000000000,silver car,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,sportsCar,NA,NA,NA,NA,NA,
49,2919-a,1450000000000,31,subSuperTrial,distr12,clownFish,target,3,4,fish,animal,discusFish,distrClass1,2,2,fish,animal,pig,distrClass2,4,3,NA,animal,1,1,0,nemo - clown fish,,1450000000000,nemo - clown fish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,clownFish,NA,NA,NA,NA,NA,
50,4452-5,1450000000000,59,subSuperTrial,distr12,germanShepherd,target,3,3,dog,animal,greyhound,distrClass1,2,4,dog,animal,pig,distrClass2,4,2,NA,animal,4,2,2,blackish dog___yeah that's it,the sheperd?___or whippet,1449254922593___1449254932610___1449254937373___1449254939322,blackish dog,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,germanShepherd,NA,NA,NA,NA,NA,
51,5975-e,1450000000000,14,subSuperTrial,distr12,gummyBears,target,3,3,candy,snack,candyCorn,distrClass1,2,4,candy,snack,popcorn,distrClass2,4,2,NA,snack,1,1,0,gummies,,1450000000000,gummies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,gummyBears,NA,NA,NA,NA,NA,
52,8430-f,1450000000000,7,subSuperTrial,distr12,jellyBeans,target,4,2,candy,snack,candyCorn,distrClass1,3,3,candy,snack,popcorn,distrClass2,2,4,NA,snack,1,1,0,jelly beans,,1450000000000,jelly beans,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,jellyBeans,NA,NA,NA,NA,NA,
53,4517-f,1450000000000,4,subSuperTrial,distr12,rose,target,4,4,flower,plant,lily,distrClass1,2,2,flower,plant,pottedPlant,distrClass2,3,3,NA,plant,1,1,0,red rose,,1450000000000,red rose,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,rose,NA,NA,NA,NA,NA,
54,5512-7,1450000000000,28,subSuperTrial,distr12,tulip,target,4,2,flower,plant,lily,distrClass1,3,4,flower,plant,pottedPlant,distrClass2,2,3,NA,plant,1,1,0,tulip,,1450000000000,tulip,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,tulip,NA,NA,NA,NA,NA,
55,6456-4,1450000000000,8,subSuperTrial,distr12,mnMs,target,3,2,candy,snack,candyCorn,distrClass1,2,4,candy,snack,pretzels,distrClass2,4,3,NA,snack,1,1,0,m m,,1450000000000,m m,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,mnMs,NA,NA,NA,NA,NA,
56,8430-f,1450000000000,1,subSuperTrial,distr12,pandaBear,target,4,4,bear,animal,koalaBear,distrClass1,2,2,bear,animal,rabbit,distrClass2,3,3,NA,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,pandaBear,NA,NA,NA,NA,NA,
57,3695-5,1450000000000,20,subSuperTrial,distr12,hummingBird,target,3,4,bird,animal,sparrow,distrClass1,2,2,bird,animal,rabbit,distrClass2,4,3,NA,animal,1,1,0,flying bird,,1450000000000,flying bird,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,hummingBird,NA,NA,NA,NA,NA,“flying bird” in distr12: the bird (BL) which is flying (superclass attribute) RIGHT NOW
58,5076-0,1450000000000,30,subSuperTrial,distr12,goldFish,target,4,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,sheep,distrClass2,2,2,NA,animal,1,1,0,Goldfish,,1450000000000,Goldfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,goldFish,NA,NA,NA,NA,NA,
59,7830-a,1450000000000,1,subSuperTrial,distr12,catfish,target,2,4,fish,animal,discusFish,distrClass1,3,2,fish,animal,sheep,distrClass2,4,3,NA,animal,1,1,0,cat,,1450000000000,cat,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,catfish,NA,NA,NA,NA,NA,
60,5076-0,1450000000000,45,subSuperTrial,distr12,clownFish,target,4,2,fish,animal,discusFish,distrClass1,2,3,fish,animal,snake,distrClass2,3,4,NA,animal,1,1,0,Clown fish,,1450000000000,Clown fish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,clownFish,NA,NA,NA,NA,NA,
61,4452-5,1450000000000,15,subSuperTrial,distr12,husky,target,3,3,dog,animal,greyhound,distrClass1,2,4,dog,animal,snake,distrClass2,4,2,NA,animal,1,1,0,husky,,1450000000000,husky,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,husky,NA,NA,NA,NA,NA,
62,9807-5,1450000000000,58,subSuperTrial,distr12,eagle,target,3,2,bird,animal,sparrow,distrClass1,2,3,bird,animal,snake,distrClass2,4,4,NA,animal,1,1,0,egle,,1450000000000,egle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,eagle,NA,NA,NA,NA,NA,
63,4842-f,1450000000000,47,subSuperTrial,distr12,tShirt,target,4,2,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,socks,distrClass2,2,4,NA,clothing,1,1,0,basic tee,,1450000000000,basic tee,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,tShirt,NA,NA,NA,NA,NA,
65,0198-d,1450000000000,27,subSuperTrial,distr12,parrot,target,4,4,bird,animal,sparrow,distrClass1,2,3,bird,animal,chick,distrClass2,3,2,NA,animal,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,parrot,NA,NA,NA,NA,NA,
66,8430-f,1450000000000,19,subSuperTrial,distr12,skittles,target,2,2,candy,snack,candyCorn,distrClass1,4,3,candy,snack,chips,distrClass2,3,4,NA,snack,1,1,0,skittles,,1450000000000,skittles,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,skittles,NA,NA,NA,NA,NA,
67,7830-a,1450000000000,12,subSuperTrial,distr12,gummyBears,target,3,4,candy,snack,candyCorn,distrClass1,2,3,candy,snack,chips,distrClass2,4,2,NA,snack,1,1,0,gummy,,1450000000000,gummy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,gummyBears,NA,NA,NA,NA,NA,
68,2919-a,1450000000000,41,subSuperTrial,distr12,gummyBears,target,3,2,candy,snack,candyCorn,distrClass1,2,3,candy,snack,chips,distrClass2,4,4,NA,snack,1,1,0,gummy bears,,1450000000000,gummy bears,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,gummyBears,NA,NA,NA,NA,NA,
69,3158-b,1450000000000,14,subSuperTrial,distr12,blackBear,target,3,4,bear,animal,koalaBear,distrClass1,4,3,bear,animal,cow,distrClass2,2,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,blackBear,NA,NA,NA,NA,NA,
71,5076-0,1450000000000,17,subSuperTrial,distr12,grizzlyBear,target,4,3,bear,animal,koalaBear,distrClass1,2,2,bear,animal,crocodile,distrClass2,3,4,NA,animal,1,1,0,Large and furry,,,,TRUE,NA,FALSE,TRUE,FALSE,FALSE,x,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,
73,3695-5,1450000000000,21,subSuperTrial,distr12,tShirt,target,3,2,shirt,clothing,campShirt,distrClass1,4,4,shirt,clothing,dress,distrClass2,2,3,NA,clothing,1,1,0,short sleeve no buttons,,1450000000000,short sleeve no buttons,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,tShirt,NA,NA,NA,NA,NA,
74,3504-8,1450000000000,72,subSuperTrial,distr12,hawaiiShirt,target,2,3,shirt,clothing,campShirt,distrClass1,3,4,shirt,clothing,dress,distrClass2,4,2,NA,clothing,1,1,0,shirt with pattern,,1450000000000,shirt with pattern,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,hawaiiShirt,NA,NA,NA,NA,NA,
75,8286-0,1450000000000,11,subSuperTrial,distr12,poloShirt,target,3,3,shirt,clothing,campShirt,distrClass1,2,4,shirt,clothing,dress,distrClass2,4,2,NA,clothing,1,1,0,polo,,1450000000000,polo,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,poloShirt,NA,NA,NA,NA,NA,
76,8684-3,1450000000000,17,subSuperTrial,distr12,swordFish,target,3,3,fish,animal,discusFish,distrClass1,4,4,fish,animal,elephant,distrClass2,2,2,NA,animal,1,1,0,swims and has long nose,,1450000000000,swims and has long nose,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,swordFish,NA,NA,NA,NA,NA,
77,3293-5,1450000000000,71,subSuperTrial,distr12,hummingBird,target,4,3,bird,animal,sparrow,distrClass1,3,2,bird,animal,elephant,distrClass2,2,4,NA,animal,1,1,0,humminbird,,1450000000000,humminbird,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,hummingBird,NA,NA,NA,NA,NA,
78,9551-7,1450000000000,54,subSuperTrial,distr12,parrot,target,3,2,bird,animal,sparrow,distrClass1,2,4,bird,animal,elephant,distrClass2,4,3,NA,animal,1,1,0,red bird,,1450000000000,red bird,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,parrot,NA,NA,NA,NA,NA,
