"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"999","9551-7",1.45e+12,63,"subSuperTrial","distr23","grizzlyBear","target",2,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass3",3,4,NA,"furniture","rabbit","distrClass2",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1173","5239-5",1.45e+12,44,"subSuperTrial","distr22","grizzlyBear","target",4,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"sheep","distrClass2",2,2,NA,"animal","rabbit","distrClass2",3,4,NA,"animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1223","2195-2",1.45e+12,22,"subSuperTrial","distr23","grizzlyBear","target",3,2,"bear","animal","lamp","distrClass3",2,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",4,4,NA,"animal",1,1,0,"BEAR","","1.45E+12","BEAR",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1327","3504-8",1.45e+12,54,"subSuperTrial","distr22","grizzlyBear","target",2,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,"squirrel","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"lion","distrClass2",3,2,NA,"animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1369","8286-0",1.45e+12,24,"subSuperTrial","distr33","grizzlyBear","target",2,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"grasses","distrClass3",3,2,NA,"plant",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1473","2919-a",1.45e+12,56,"subSuperTrial","distr23","grizzlyBear","target",4,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"elephant","distrClass2",3,4,NA,"animal","ambulance","distrClass3",2,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1516","6456-4",1.45e+12,27,"subSuperTrial","distr23","grizzlyBear","target",4,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",2,2,NA,"animal","firetruck","distrClass3",3,4,NA,"vehicle",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1664","7830-a",1.45e+12,31,"subSuperTrial","distr12","grizzlyBear","target",3,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"snake","distrClass2",2,4,NA,"animal","koalaBear","distrClass1",4,2,"bear","animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1720","3158-b",1.45e+12,15,"subSuperTrial","distr23","grizzlyBear","target",2,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"crocodile","distrClass2",3,4,NA,"animal","dress","distrClass3",4,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1889","0198-d",1.45e+12,40,"subSuperTrial","distr12","grizzlyBear","target",3,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"koalaBear","distrClass1",4,2,"bear","animal","cow","distrClass2",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"1932","3695-5",1.45e+12,11,"subSuperTrial","distr33","grizzlyBear","target",4,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"firetruck","distrClass3",2,2,NA,"vehicle","pretzels","distrClass3",3,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
