Utterance	condition	target	MAP	credHigh	credLow	EmpProportion	EmpYMin	EmpYMax	ModelType
basic	item12	pug	0.145286214908271	0.145286214908271	0.145286214908271	0.0909090909090909	0	0.272727272727273	det-nocost
basic	item12	rose	0.146017500250767	0.146017500250767	0.146017500250767	0	0	0	det-nocost
basic	item12	skittles	0.146017500250767	0.146017500250767	0.146017500250767	0	0	0	det-nocost
basic	item12	sportscar	0.154023778514753	0.154023778514753	0.154023778514753	0.833333333333333	0.5	1	det-nocost
basic	item12	sunflower	0.146796627020699	0.146796627020699	0.146796627020699	0.666666666666667	0.333333333333333	1	det-nocost
basic	item12	suv	0.146017500250767	0.146017500250767	0.146017500250767	0.333333333333333	0	0.666666666666667	det-nocost
basic	item12	swordfish	0.146017500250767	0.146017500250767	0.146017500250767	0.125	0	0.3125	det-nocost
basic	item12	tshirt	0.146796627020699	0.146796627020699	0.146796627020699	0.5	0.166666666666667	0.833333333333333	det-nocost
basic	item12	tulip	0.146796627020699	0.146796627020699	0.146796627020699	0.4	0	0.8	det-nocost
basic	item22	bedsidetable	0.483772957566396	0.483772957566396	0.483772957566396	0.125	0	0.375	det-nocost
basic	item22	blackbear	0.484009144315144	0.484009144315144	0.484009144315144	0.642857142857143	0.428571428571429	0.857142857142857	det-nocost
basic	item22	catfish	0.484009144315144	0.484009144315144	0.484009144315144	0.571428571428571	0.357142857142857	0.785714285714286	det-nocost
basic	item22	clownfish	0.483978624941488	0.483978624941488	0.483978624941488	1	1	1	det-nocost
basic	item22	coffeetable	0.483772957566396	0.483772957566396	0.483772957566396	0.75	0.5	1	det-nocost
basic	item22	convertible	0.483772957566396	0.483772957566396	0.483772957566396	0.666666666666667	0.416666666666667	0.916666666666667	det-nocost
basic	item22	daisy	0.483952318972187	0.483952318972187	0.483952318972187	0.7	0.4	1	det-nocost
basic	item22	dalmatian	0.484009144315144	0.484009144315144	0.484009144315144	0.461538461538462	0.230769230769231	0.692307692307692	det-nocost
basic	item22	diningtable	0.483932406781342	0.483932406781342	0.483932406781342	1	1	1	det-nocost
basic	item22	dressshirt	0.483869973454378	0.483869973454378	0.483869973454378	0.909090909090909	0.727272727272727	1	det-nocost
basic	item22	eagle	0.483978624941488	0.483978624941488	0.483978624941488	0.0555555555555556	0	0.166666666666667	det-nocost
basic	item22	germanshepherd	0.483978624941488	0.483978624941488	0.483978624941488	0.833333333333333	0.583333333333333	1	det-nocost
basic	item22	goldfish	0.483952318972187	0.483952318972187	0.483952318972187	0.631578947368421	0.421052631578947	0.842105263157895	det-nocost
basic	item22	grizzlybear	0.483932406781342	0.483932406781342	0.483932406781342	0.888888888888889	0.722222222222222	1	det-nocost
basic	item22	gummybears	0.483932406781342	0.483932406781342	0.483932406781342	0	0	0	det-nocost
basic	item22	hawaiishirt	0.483869973454378	0.483869973454378	0.483869973454378	0.6	0.3	0.9	det-nocost
basic	item22	hummingbird	0.483978624941488	0.483978624941488	0.483978624941488	0.75	0.5	0.9375	det-nocost
basic	item22	husky	0.483869973454378	0.483869973454378	0.483869973454378	0.705882352941177	0.470588235294118	0.882352941176471	det-nocost
basic	item22	jellybeans	0.483952318972187	0.483952318972187	0.483952318972187	0.444444444444444	0.111111111111111	0.777777777777778	det-nocost
basic	item22	minivan	0.483952318972187	0.483952318972187	0.483952318972187	0.2	0	0.6	det-nocost
basic	item22	mnms	0.483869973454378	0.483869973454378	0.483869973454378	0.307692307692308	0.0769230769230769	0.538461538461538	det-nocost
basic	item22	pandabear	0.484009144315144	0.484009144315144	0.484009144315144	0.1875	0	0.375	det-nocost
basic	item22	parrot	0.483932406781342	0.483932406781342	0.483932406781342	0.416666666666667	0.166666666666667	0.666666666666667	det-nocost
basic	item22	picnictable	0.483952318972187	0.483952318972187	0.483952318972187	0.333333333333333	0.111111111111111	0.555555555555556	det-nocost
basic	item22	pigeon	0.483978624941488	0.483978624941488	0.483978624941488	0.4	0.2	0.65	det-nocost
basic	item22	polarbear	0.483869973454378	0.483869973454378	0.483869973454378	0.571428571428571	0.333333333333333	0.761904761904762	det-nocost
basic	item22	poloshirt	0.483952318972187	0.483952318972187	0.483952318972187	0.777777777777778	0.552777777777778	1	det-nocost
basic	item22	pug	0.484009144315144	0.484009144315144	0.484009144315144	0.666666666666667	0.458333333333333	0.833333333333333	det-nocost
basic	item22	rose	0.483869973454378	0.483869973454378	0.483869973454378	0.222222222222222	0	0.555555555555556	det-nocost
basic	item22	skittles	0.483869973454378	0.483869973454378	0.483869973454378	0.181818181818182	0	0.454545454545455	det-nocost
basic	item22	sportscar	0.499388080044193	0.499388080044193	0.499388080044193	0.666666666666667	0.4	0.866666666666667	det-nocost
basic	item22	sunflower	0.483670701746593	0.483670701746593	0.483670701746593	0.666666666666667	0.333333333333333	1	det-nocost
basic	item22	suv	0.483772957566396	0.483772957566396	0.483772957566396	0.454545454545455	0.181818181818182	0.727272727272727	det-nocost
basic	item22	swordfish	0.483952318972187	0.483952318972187	0.483952318972187	0.333333333333333	0.0833333333333333	0.583333333333333	det-nocost
basic	item22	tshirt	0.483978624941488	0.483978624941488	0.483978624941488	0.833333333333333	0.583333333333333	1	det-nocost
basic	item22	tulip	0.483932406781342	0.483932406781342	0.483932406781342	0.4	0.1	0.7	det-nocost
basic	item23	bedsidetable	0.458636228693876	0.458636228693876	0.458636228693876	0.0714285714285714	0	0.214285714285714	det-nocost
basic	item23	blackbear	0.458251740364818	0.458251740364818	0.458251740364818	0.714285714285714	0.428571428571429	1	det-nocost
basic	item23	catfish	0.458004643164488	0.458004643164488	0.458004643164488	0.428571428571429	0.142857142857143	0.714285714285714	det-nocost
basic	item23	clownfish	0.458527968894373	0.458527968894373	0.458527968894373	0.583333333333333	0.333333333333333	0.833333333333333	det-nocost
basic	item23	coffeetable	0.458479381987301	0.458479381987301	0.458479381987301	0.904761904761905	0.761904761904762	1	det-nocost
basic	item23	convertible	0.458636228693876	0.458636228693876	0.458636228693876	0.733333333333333	0.466666666666667	0.933333333333333	det-nocost
basic	item23	daisy	0.458004643164488	0.458004643164488	0.458004643164488	0.733333333333333	0.533333333333333	0.933333333333333	det-nocost
basic	item23	dalmatian	0.458361064893409	0.458361064893409	0.458361064893409	0.571428571428571	0.380952380952381	0.761904761904762	det-nocost
basic	item23	diningtable	0.458527968894373	0.458527968894373	0.458527968894373	1	1	1	det-nocost
basic	item23	dressshirt	0.458636228693876	0.458636228693876	0.458636228693876	0.857142857142857	0.642857142857143	1	det-nocost
basic	item23	eagle	0.458527968894373	0.458527968894373	0.458527968894373	0.266666666666667	0.0666666666666667	0.533333333333333	det-nocost
basic	item23	germanshepherd	0.458361064893409	0.458361064893409	0.458361064893409	0.916666666666667	0.75	1	det-nocost
basic	item23	goldfish	0.458004643164488	0.458004643164488	0.458004643164488	0.5	0.125	0.875	det-nocost
basic	item23	grizzlybear	0.458580661731263	0.458580661731263	0.458580661731263	1	1	1	det-nocost
basic	item23	gummybears	0.458479381987301	0.458479381987301	0.458479381987301	0.1875	0	0.375	det-nocost
basic	item23	hawaiishirt	0.458679326942719	0.458679326942719	0.458679326942719	0.8	0.5	1	det-nocost
basic	item23	hummingbird	0.458527968894373	0.458527968894373	0.458527968894373	0.636363636363636	0.361363636363636	0.909090909090909	det-nocost
basic	item23	husky	0.458361064893409	0.458361064893409	0.458361064893409	0.5	0.214285714285714	0.714285714285714	det-nocost
basic	item23	jellybeans	0.458527968894373	0.458527968894373	0.458527968894373	0.2	0.05	0.4	det-nocost
basic	item23	minivan	0.458361064893409	0.458361064893409	0.458361064893409	0.133333333333333	0	0.333333333333333	det-nocost
basic	item23	mnms	0.458619823615879	0.458619823615879	0.458619823615879	0.266666666666667	0.0666666666666667	0.533333333333333	det-nocost
basic	item23	pandabear	0.458479381987301	0.458479381987301	0.458479381987301	0.181818181818182	0	0.454545454545455	det-nocost
basic	item23	parrot	0.458636228693876	0.458636228693876	0.458636228693876	0.454545454545455	0.181818181818182	0.727272727272727	det-nocost
basic	item23	picnictable	0.458361064893409	0.458361064893409	0.458361064893409	0.3125	0.125	0.5625	det-nocost
basic	item23	pigeon	0.458251740364818	0.458251740364818	0.458251740364818	0.5	0.25	0.75	det-nocost
basic	item23	polarbear	0.458636228693876	0.458636228693876	0.458636228693876	0.666666666666667	0.333333333333333	0.888888888888889	det-nocost
basic	item23	poloshirt	0.458479381987301	0.458479381987301	0.458479381987301	0.916666666666667	0.75	1	det-nocost
basic	item23	pug	0.458361064893409	0.458361064893409	0.458361064893409	0.8	0.5	1	det-nocost
basic	item23	rose	0.458479381987301	0.458479381987301	0.458479381987301	0.214285714285714	0	0.428571428571429	det-nocost
basic	item23	skittles	0.458479381987301	0.458479381987301	0.458479381987301	0.230769230769231	0	0.538461538461538	det-nocost
basic	item23	sportscar	0.49948346558851	0.49948346558851	0.49948346558851	0.785714285714286	0.571428571428571	1	det-nocost
basic	item23	sunflower	0.458636228693876	0.458636228693876	0.458636228693876	0.611111111111111	0.388888888888889	0.833333333333333	det-nocost
basic	item23	suv	0.458479381987301	0.458479381987301	0.458479381987301	0.142857142857143	0	0.357142857142857	det-nocost
basic	item23	swordfish	0.458527968894373	0.458527968894373	0.458527968894373	0.555555555555556	0.222222222222222	0.888888888888889	det-nocost
basic	item23	tshirt	0.458636228693876	0.458636228693876	0.458636228693876	0.75	0.5	0.9375	det-nocost
basic	item23	tulip	0.458527968894373	0.458527968894373	0.458527968894373	0.388888888888889	0.166666666666667	0.666666666666667	det-nocost
basic	item33	bedsidetable	0.332925386696129	0.332925386696129	0.332925386696129	0	0	0	det-nocost
basic	item33	blackbear	0.333012686017732	0.333012686017732	0.333012686017732	0.785714285714286	0.571428571428571	1	det-nocost
basic	item33	catfish	0.332998051817708	0.332998051817708	0.332998051817708	0.909090909090909	0.727272727272727	1	det-nocost
basic	item33	clownfish	0.33297819515852	0.33297819515852	0.33297819515852	0.916666666666667	0.75	1	det-nocost
basic	item33	coffeetable	0.332998051817708	0.332998051817708	0.332998051817708	0.8125	0.625	1	det-nocost
basic	item33	convertible	0.332988977059007	0.332988977059007	0.332988977059007	0.80952380952381	0.619047619047619	0.952380952380952	det-nocost
basic	item33	daisy	0.33289092672113	0.33289092672113	0.33289092672113	0.666666666666667	0.444444444444444	0.888888888888889	det-nocost
basic	item33	dalmatian	0.332988977059007	0.332988977059007	0.332988977059007	0.5	0.125	0.753124999999997	det-nocost
basic	item33	diningtable	0.33297819515852	0.33297819515852	0.33297819515852	0.909090909090909	0.727272727272727	1	det-nocost
basic	item33	dressshirt	0.332965006289368	0.332965006289368	0.332965006289368	1	1	1	det-nocost
basic	item33	eagle	0.33297819515852	0.33297819515852	0.33297819515852	0.444444444444444	0.111111111111111	0.777777777777778	det-nocost
basic	item33	germanshepherd	0.332948196007874	0.332948196007874	0.332948196007874	0.909090909090909	0.727272727272727	1	det-nocost
basic	item33	goldfish	0.332965006289368	0.332965006289368	0.332965006289368	0.545454545454545	0.272727272727273	0.818181818181818	det-nocost
basic	item33	grizzlybear	0.332988977059007	0.332988977059007	0.332988977059007	0.875	0.625	1	det-nocost
basic	item33	gummybears	0.33297819515852	0.33297819515852	0.33297819515852	0.210526315789474	0.0526315789473684	0.421052631578947	det-nocost
basic	item33	hawaiishirt	0.332998051817708	0.332998051817708	0.332998051817708	1	1	1	det-nocost
basic	item33	hummingbird	0.332948196007874	0.332948196007874	0.332948196007874	0.692307692307692	0.461538461538462	0.923076923076923	det-nocost
basic	item33	husky	0.333012686017732	0.333012686017732	0.333012686017732	0.5	0.166666666666667	0.833333333333333	det-nocost
basic	item33	jellybeans	0.332925386696129	0.332925386696129	0.332925386696129	0.25	0.0625	0.5	det-nocost
basic	item33	minivan	0.332988977059007	0.332988977059007	0.332988977059007	0.416666666666667	0.208333333333333	0.625	det-nocost
basic	item33	mnms	0.332988977059007	0.332988977059007	0.332988977059007	0.142857142857143	0	0.357142857142857	det-nocost
basic	item33	pandabear	0.332948196007874	0.332948196007874	0.332948196007874	0.25	0.0833333333333333	0.5	det-nocost
basic	item33	parrot	0.332948196007874	0.332948196007874	0.332948196007874	0.583333333333333	0.333333333333333	0.833333333333333	det-nocost
basic	item33	picnictable	0.33297819515852	0.33297819515852	0.33297819515852	0.5	0.125	0.875	det-nocost
basic	item33	pigeon	0.33297819515852	0.33297819515852	0.33297819515852	0.636363636363636	0.363636363636364	0.909090909090909	det-nocost
basic	item33	polarbear	0.332948196007874	0.332948196007874	0.332948196007874	0.714285714285714	0.425	1	det-nocost
basic	item33	poloshirt	0.332965006289368	0.332965006289368	0.332965006289368	1	1	1	det-nocost
basic	item33	pug	0.332965006289368	0.332965006289368	0.332965006289368	0.7	0.4	1	det-nocost
basic	item33	rose	0.33297819515852	0.33297819515852	0.33297819515852	0.1875	0	0.375	det-nocost
basic	item33	skittles	0.33297819515852	0.33297819515852	0.33297819515852	0.235294117647059	0.0588235294117647	0.470588235294118	det-nocost
basic	item33	sportscar	0.499422294011811	0.499422294011811	0.499422294011811	0.8125	0.625	1	det-nocost
basic	item33	sunflower	0.332988977059007	0.332988977059007	0.332988977059007	0.588235294117647	0.352941176470588	0.823529411764706	det-nocost
basic	item33	suv	0.333005857612669	0.333005857612669	0.333005857612669	0.647058823529412	0.411764705882353	0.882352941176471	det-nocost
basic	item33	swordfish	0.332965006289368	0.332965006289368	0.332965006289368	0.6875	0.4375	0.875	det-nocost
basic	item33	tshirt	0.33289092672113	0.33289092672113	0.33289092672113	0.8	0.5	1	det-nocost
basic	item33	tulip	0.332948196007874	0.332948196007874	0.332948196007874	0.3125	0.125	0.5625	det-nocost
sub	item12	bedsidetable	0.797992927331673	0.797992927331673	0.797992927331673	0.833333333333333	0.5	1	det-nocost
sub	item12	blackbear	0.799848464386161	0.799848464386161	0.799848464386161	0.681818181818182	0.5	0.863636363636364	det-nocost
sub	item12	catfish	0.800750249041276	0.800750249041276	0.800750249041276	0.8	0.6	1	det-nocost
sub	item12	clownfish	0.800750249041276	0.800750249041276	0.800750249041276	0.5	0.166666666666667	0.833333333333333	det-nocost
