gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
3928-b,1448897148495,12,colorSizeTrial,sizeOnly4Distr4Same,small_purple_stapler,target,3,4,NA,NA,big_purple_stapler,distractor,5,2,NA,NA,big_purple_stapler,distractor,1,3,NA,NA,big_purple_stapler,distractor,4,1,NA,NA,big_purple_stapler,distractor,2,5,NA,NA
3928-b,1448897155932,13,subSuperTrial,distr23,bra,target,4,2,clothing,object,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,3,3,NA,plant,trafficcone,distrClass2,2,4,NA,object,blackStimulus,NA,1,1,NA,NA
3928-b,1448897164745,14,subSuperTrial,distr23,clarinet,target,4,4,instrument,object,bread,distrClass3,2,3,NA,food,tv,distrClass2,3,2,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
3928-b,1448897173495,15,colorSizeTrial,sizeOnly2Distr2Same,big_red_candle,target,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_candle,distractor,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_candle,distractor,2,4,NA,NA
3928-b,1448897196884,16,subSuperTrial,distr22,tulip,target,2,4,flower,plant,blackStimulus,NA,5,5,NA,NA,bambus,distrClass2,4,2,NA,plant,blackStimulus,NA,1,1,NA,NA,chive,distrClass2,3,3,NA,plant
3928-b,1448897206307,17,subSuperTrial,distr22,mushroom,target,4,3,vegetable,food,blackStimulus,NA,5,5,NA,NA,cookies,distrClass2,2,4,NA,food,pasta,distrClass2,3,2,NA,food,blackStimulus,NA,1,1,NA,NA
3928-b,1448897213423,18,colorSizeTrial,sizeOnly2Distr2Same,small_red_chair,target,2,2,NA,NA,big_red_chair,distractor,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_red_chair,distractor,4,4,NA,NA
3928-b,1448897221506,19,colorSizeTrial,sizeOnly2Distr1Same,big_green_avocado,target,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_green_avocado,distractor,2,4,NA,NA,small_black_avocado,distractor,4,2,NA,NA
3928-b,1448897227250,20,subSuperTrial,distr12,igloo,target,3,2,house,place,blackStimulus,NA,1,1,NA,NA,mosque,distrClass2,2,4,NA,place,rv,distrClass1,4,3,house,place,blackStimulus,NA,5,5,NA,NA
3928-b,1448897236374,21,colorSizeTrial,colorOnly4Distr2Same,big_orange_cap,target,1,1,NA,NA,small_blue_cap,distractor,5,3,NA,NA,big_blue_cap,distractor,4,4,NA,NA,small_blue_cap,distractor,2,5,NA,NA,big_blue_cap,distractor,3,2,NA,NA
3928-b,1448897244858,22,colorSizeTrial,colorOnly4Distr3Same,small_red_toothbrush,target,2,5,NA,NA,small_blue_toothbrush,distractor,1,4,NA,NA,big_blue_toothbrush,distractor,5,1,NA,NA,small_blue_toothbrush,distractor,3,2,NA,NA,small_blue_toothbrush,distractor,4,3,NA,NA
3928-b,1448897252505,23,subSuperTrial,distr33,carrot,target,2,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,fir,distrClass3,4,3,NA,plant,blackStimulus,NA,1,1,NA,NA,trafficcone,distrClass3,3,2,NA,object
3928-b,1448897261728,24,subSuperTrial,distr22,germanShepherd,target,2,4,dog,animal,iguana,distrClass2,3,2,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,lion,distrClass2,4,3,NA,animal
3928-b,1448897273698,25,colorSizeTrial,colorOnly4Distr1Same,big_purple_bike,target,3,5,NA,NA,small_red_bike,distractor,5,2,NA,NA,big_red_bike,distractor,1,3,NA,NA,small_red_bike,distractor,4,4,NA,NA,small_red_bike,distractor,2,1,NA,NA
3928-b,1448897282045,26,colorSizeTrial,sizeOnly4Distr2Same,small_brown_jacket,target,5,1,NA,NA,big_green_jacket,distractor,4,3,NA,NA,big_green_jacket,distractor,2,5,NA,NA,big_brown_jacket,distractor,3,4,NA,NA,big_brown_jacket,distractor,1,2,NA,NA
3928-b,1448897298689,27,subSuperTrial,distr33,wardrobe,target,2,4,furniture,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bear,distrClass3,3,3,NA,animal,egg,distrClass3,4,2,NA,food
3928-b,1448897308355,28,subSuperTrial,distr23,lime,target,4,4,fruit,food,fries,distrClass2,2,3,NA,food,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,3,2,NA,plant,blackStimulus,NA,5,5,NA,NA
3928-b,1448897315118,29,subSuperTrial,distr33,bookcase,target,3,2,furniture,object,blackStimulus,NA,5,5,NA,NA,fries,distrClass3,2,3,NA,food,blackStimulus,NA,1,1,NA,NA,bambus,distrClass3,4,4,NA,plant
3928-b,1448897324170,30,colorSizeTrial,sizeOnly4Distr4Same,big_pink_phone,target,3,4,NA,NA,small_pink_phone,distractor,2,2,NA,NA,small_pink_phone,distractor,4,5,NA,NA,small_pink_phone,distractor,5,1,NA,NA,small_pink_phone,distractor,1,3,NA,NA
3928-b,1448897334173,31,colorSizeTrial,sizeOnly4Distr2Same,small_orange_cushion,target,2,5,NA,NA,big_orange_cushion,distractor,4,2,NA,NA,big_blue_cushion,distractor,5,4,NA,NA,big_orange_cushion,distractor,1,3,NA,NA,big_blue_cushion,distractor,3,1,NA,NA
3928-b,1448897343336,32,subSuperTrial,distr12,pineapple,target,4,2,fruit,food,chocolate,distrClass2,2,4,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,peach,distrClass1,3,3,fruit,food
3928-b,1448897360298,33,subSuperTrial,distr12,eggplant,target,3,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,tomato,distrClass1,2,2,vegetable,food,muffin,distrClass2,4,3,NA,food,blackStimulus,NA,1,1,NA,NA
3928-b,1448897367190,34,subSuperTrial,distr22,belt2,target,2,2,clothing,object,blackStimulus,NA,5,5,NA,NA,record,distrClass2,4,3,NA,object,mailbox,distrClass2,3,4,NA,object,blackStimulus,NA,1,1,NA,NA
3928-b,1448897376588,35,subSuperTrial,distr23,grapefruit,target,4,2,fruit,food,blackStimulus,NA,5,5,NA,NA,cheese,distrClass2,2,4,NA,food,blackStimulus,NA,1,1,NA,NA,anvil,distrClass3,3,3,NA,object
3928-b,1448897390908,36,colorSizeTrial,sizeOnly4Distr1Same,big_purple_hairdryer,target,3,4,NA,NA,small_pink_hairdryer,distractor,5,3,NA,NA,small_pink_hairdryer,distractor,1,5,NA,NA,small_pink_hairdryer,distractor,4,1,NA,NA,small_purple_hairdryer,distractor,2,2,NA,NA
3928-b,1448897397550,37,subSuperTrial,distr12,piano,target,2,4,instrument,object,blackStimulus,NA,1,1,NA,NA,drum,distrClass1,4,2,instrument,object,baseballmitt,distrClass2,3,3,NA,object,blackStimulus,NA,5,5,NA,NA
3928-b,1448897403461,38,subSuperTrial,distr12,banjo,target,2,3,instrument,object,blackStimulus,NA,1,1,NA,NA,trumpet,distrClass1,3,4,instrument,object,moviecamera,distrClass2,4,2,NA,object,blackStimulus,NA,5,5,NA,NA
3928-b,1448897409413,39,colorSizeTrial,colorOnly2Distr2Same,small_green_rock,target,4,3,NA,NA,small_purple_rock,distractor,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_rock,distractor,2,4,NA,NA
3928-b,1448897414940,40,subSuperTrial,distr23,ambulance,target,2,4,vehicle,object,flamingo,distrClass3,4,3,NA,animal,pencil,distrClass2,3,2,NA,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
3928-b,1448897421805,41,colorSizeTrial,sizeOnly4Distr2Same,big_blue_butterfly,target,3,2,NA,NA,small_blue_butterfly,distractor,4,3,NA,NA,small_blue_butterfly,distractor,1,1,NA,NA,small_purple_butterfly,distractor,2,5,NA,NA,small_purple_butterfly,distractor,5,4,NA,NA
3928-b,1448897428676,42,subSuperTrial,distr12,trailer,target,4,2,house,place,castle,distrClass1,2,3,house,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,hospital,distrClass2,3,4,NA,place
3928-b,1448897436047,43,subSuperTrial,distr12,husky,target,4,4,dog,animal,penguin,distrClass2,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,chihuahua,distrClass1,3,2,dog,animal,blackStimulus,NA,5,5,NA,NA
3928-b,1448897443007,44,colorSizeTrial,colorOnly4Distr4Same,big_pink_teacup,target,1,3,NA,NA,big_white_teacup,distractor,2,1,NA,NA,big_white_teacup,distractor,5,5,NA,NA,big_white_teacup,distractor,4,4,NA,NA,big_white_teacup,distractor,3,2,NA,NA
3928-b,1448897448887,45,colorSizeTrial,colorOnly4Distr4Same,big_blue_ornament,target,5,2,NA,NA,big_purple_ornament,distractor,2,5,NA,NA,big_purple_ornament,distractor,3,3,NA,NA,big_purple_ornament,distractor,1,1,NA,NA,big_purple_ornament,distractor,4,4,NA,NA
3928-b,1448897455196,46,subSuperTrial,distr22,dalmatian,target,3,2,dog,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,horse,distrClass2,4,3,NA,animal,flamingo,distrClass2,2,4,NA,animal
3928-b,1448897465349,47,subSuperTrial,distr33,swimsuit,target,2,3,clothing,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,cookies,distrClass3,3,4,NA,food,chive,distrClass3,4,2,NA,plant
