gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,TypeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,TRUEheMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
3276-c,1.4489E+12,11,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,bike2,target,3,4,vehicle,object,ivy,distrClass3,4,3,NA,plant,blackStimulus,NA,1,1,NA,NA,hotdog,distrClass3,2,2,NA,food,1,1,0,form of transportation,,1.4489E+12,form of transportation,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,12,colorSizeTrial,sizeOnly4Distr3Same,small_blue_binder,distractor,1,1,NA,NA,small_green_binder,distractor,5,3,NA,NA,big_green_binder,target,4,2,NA,NA,small_green_binder,distractor,3,5,NA,NA,small_green_binder,distractor,2,4,NA,NA,1,1,0,green and biggest,,1.4489E+12,green and biggest,TRUE,TRUE,FALSE,,,,,,,,small_blue_binder,NA,NA,,,,
3276-c,1.4489E+12,13,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,peas,distrClass1,2,3,vegetable,food,blackStimulus,NA,5,5,NA,NA,cookies,distrClass2,3,4,NA,food,mushroom,target,4,2,vegetable,food,1,1,0,tan in color,,1.4489E+12,tan in color,FALSE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,14,colorSizeTrial,colorOnly4Distr3Same,big_blue_book,distractor,3,1,NA,NA,small_blue_book,distractor,1,5,NA,NA,big_blue_book,distractor,4,4,NA,NA,big_black_book,target,5,2,NA,NA,big_blue_book,distractor,2,3,NA,NA,1,1,0,black,,1.4489E+12,black,FALSE,TRUE,FALSE,,,,,,,,big_blue_book,NA,NA,,,,
3276-c,1.4489E+12,15,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,airport,distrClass2,3,4,NA,place,museum,distrClass2,4,3,NA,place,blackStimulus,NA,5,5,NA,NA,igloo,target,2,2,house,place,1,1,0,snow and ice,,1.4489E+12,snow and ice,FALSE,FALSE,FALSE,TRUE,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,16,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,temple,distrClass3,2,3,NA,place,pizza,distrClass3,3,2,NA,food,blackStimulus,NA,5,5,NA,NA,saxophone,target,4,4,instrument,object,1,1,0,music,,1.4489E+12,music,FALSE,FALSE,FALSE,,,,TRUE,,,,blackStimulus,NA,NA,,,,??? Music instead of instrument
3276-c,1.4489E+12,17,colorSizeTrial,sizeOnly4Distr1Same,big_red_pepper,distractor,2,1,NA,NA,big_green_pepper,distractor,4,4,NA,NA,big_red_pepper,distractor,5,5,NA,NA,small_green_pepper,target,3,2,NA,NA,big_red_pepper,distractor,1,3,NA,NA,1,1,0,green and smallest,,1.4489E+12,green and smallest,TRUE,TRUE,FALSE,,,,,,,,big_red_pepper,NA,NA,,,,
3276-c,1.4489E+12,18,colorSizeTrial,sizeOnly4Distr4Same,big_purple_bracelet,distractor,1,1,NA,NA,big_purple_bracelet,distractor,3,2,NA,NA,big_purple_bracelet,distractor,4,3,NA,NA,small_purple_bracelet,target,2,5,NA,NA,big_purple_bracelet,distractor,5,4,NA,NA,1,1,0,smallest,,1.4489E+12,smallest,TRUE,FALSE,FALSE,,,,,,,,big_purple_bracelet,NA,NA,,,,
3276-c,1.4489E+12,19,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,church,distrClass3,4,4,NA,place,blackStimulus,NA,5,5,NA,NA,flamingo,distrClass3,2,3,NA,animal,banjo,target,3,2,instrument,object,1,1,0,music,,1.4489E+12,music,FALSE,FALSE,FALSE,,,,TRUE,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,20,colorSizeTrial,colorOnly4Distr1Same,small_red_bucket,distractor,1,2,NA,NA,big_pink_bucket,target,4,3,NA,NA,big_red_bucket,distractor,5,1,NA,NA,small_red_bucket,distractor,3,4,NA,NA,small_red_bucket,distractor,2,5,NA,NA,1,1,0,pink,,1.4489E+12,pink,FALSE,TRUE,FALSE,,,,,,,,small_red_bucket,NA,NA,,,,
3276-c,1.4489E+12,21,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,iguana,distrClass2,4,3,NA,animal,burger,distrClass3,3,4,NA,food,husky,target,2,2,dog,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,dog,,1.4489E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,22,colorSizeTrial,sizeOnly4Distr1Same,big_pink_phone,distractor,1,5,NA,NA,small_pink_phone,target,5,2,NA,NA,big_white_phone,distractor,2,3,NA,NA,big_white_phone,distractor,3,4,NA,NA,big_white_phone,distractor,4,1,NA,NA,1,1,0,pink and smallest,,1.4489E+12,pink and smallest,TRUE,TRUE,FALSE,,,,,,,,big_pink_phone,NA,NA,,,,
3276-c,1.4489E+12,23,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,dresser,distrClass1,4,4,furniture,object,tooth,distrClass2,2,3,NA,object,blackStimulus,NA,5,5,NA,NA,lamp,target,3,2,furniture,object,1,1,0,lamp,,1.4489E+12,lamp,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,24,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,small_green_guitar,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_blue_guitar,distractor,4,4,NA,NA,big_green_guitar,target,3,3,NA,NA,1,1,0,largest and green,,1.4489E+12,largest and green,TRUE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,25,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,small_green_jacket,distractor,4,3,NA,NA,small_green_jacket,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_jacket,target,2,2,NA,NA,1,1,0,largest,,1.4489E+12,largest,TRUE,FALSE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,26,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,small_orange_cushion,distractor,3,2,NA,NA,small_orange_cushion,distractor,4,4,NA,NA,big_orange_cushion,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,largest,,1.4489E+12,largest,TRUE,FALSE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,27,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,pug,target,2,4,dog,animal,blackStimulus,NA,1,1,NA,NA,mailbox,distrClass3,3,2,NA,object,rhino,distrClass2,4,3,NA,animal,1,1,0,dog,,1.4489E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,28,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_blue_rug,target,2,4,NA,NA,small_purple_rug,distractor,3,3,NA,NA,small_purple_rug,distractor,4,2,NA,NA,1,1,0,blue,,1.4489E+12,blue,FALSE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,29,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,laptop,distrClass3,2,3,NA,object,daisy,target,4,2,flower,plant,backpack,distrClass3,3,4,NA,object,blackStimulus,NA,5,5,NA,NA,1,1,0,flower,,1.4489E+12,flower,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,30,colorSizeTrial,colorOnly4Distr3Same,big_yellow_balloon,distractor,2,1,NA,NA,small_yellow_balloon,distractor,3,3,NA,NA,big_yellow_balloon,distractor,5,5,NA,NA,big_yellow_balloon,distractor,1,4,NA,NA,big_pink_balloon,target,4,2,NA,NA,1,1,0,pink,,1.4489E+12,pink,FALSE,TRUE,FALSE,,,,,,,,big_yellow_balloon,NA,NA,,,,
3276-c,1.4489E+12,31,colorSizeTrial,sizeOnly4Distr3Same,small_blue_butterfly,distractor,3,1,NA,NA,big_blue_butterfly,target,4,2,NA,NA,small_blue_butterfly,distractor,1,5,NA,NA,small_purple_butterfly,distractor,2,4,NA,NA,small_blue_butterfly,distractor,5,3,NA,NA,1,1,0,blue and largest,,1.4489E+12,blue and largest,TRUE,TRUE,FALSE,,,,,,,,small_blue_butterfly,NA,NA,,,,
3276-c,1.4489E+12,32,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,bathrobe,target,3,4,clothing,object,greekcolumn,distrClass2,4,2,NA,object,mailbox,distrClass2,2,3,NA,object,blackStimulus,NA,5,5,NA,NA,1,1,0,robe,,1.4489E+12,robe,FALSE,FALSE,TRUE,,,,,TRUE,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,33,colorSizeTrial,sizeOnly4Distr3Same,small_black_belt,target,5,5,NA,NA,big_black_belt,distractor,4,1,NA,NA,big_brown_belt,distractor,3,4,NA,NA,big_black_belt,distractor,2,3,NA,NA,big_black_belt,distractor,1,2,NA,NA,1,1,0,black and smallest,,1.4489E+12,black and smallest,TRUE,TRUE,FALSE,,,,,,,,small_black_belt,NA,NA,,,,
3276-c,1.4489E+12,34,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,2,3,NA,plant,carrot,target,3,4,vegetable,food,rubberduck,distrClass3,4,2,NA,object,1,1,0,carrot,,1.4489E+12,carrot,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,35,colorSizeTrial,sizeOnly4Distr2Same,big_red_bike,target,2,1,NA,NA,small_purple_bike,distractor,3,5,NA,NA,small_red_bike,distractor,1,3,NA,NA,small_red_bike,distractor,4,4,NA,NA,small_purple_bike,distractor,5,2,NA,NA,1,1,0,red and biggest,,1.4489E+12,red and biggest,TRUE,TRUE,FALSE,,,,,,,,big_red_bike,NA,NA,,,,
3276-c,1.4489E+12,36,colorSizeTrial,sizeOnly4Distr1Same,big_green_chair,distractor,2,2,NA,NA,big_red_chair,distractor,3,1,NA,NA,small_red_chair,target,4,4,NA,NA,big_green_chair,distractor,5,5,NA,NA,big_green_chair,distractor,1,3,NA,NA,1,1,0,orange and smallest,,1.4489E+12,orange and smallest,TRUE,TRUE,FALSE,,,,,,,,big_green_chair,NA,NA,,,,
3276-c,1.4489E+12,37,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,pottedPlant,distrClass2,3,4,NA,plant,crosswalksign,distrClass3,2,2,NA,object,blackStimulus,NA,5,5,NA,NA,rose,target,4,3,flower,plant,1,1,0,rose,,1.4489E+12,rose,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,38,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,firetruck,target,4,4,vehicle,object,sideroadsign,distrClass2,3,2,NA,object,camera,distrClass2,2,3,NA,object,1,1,0,fire,,1.4489E+12,fire,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,39,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,washingmachine,distrClass2,4,3,NA,object,piano,target,3,4,instrument,object,cigar,distrClass2,2,2,NA,object,blackStimulus,NA,5,5,NA,NA,1,1,0,piano,,1.4489E+12,piano,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,40,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,big_purple_rock,distractor,2,3,NA,NA,big_green_rock,distractor,3,2,NA,NA,small_purple_rock,target,4,4,NA,NA,1,1,0,purple and smallest,,1.4489E+12,purple and smallest,TRUE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,41,colorSizeTrial,sizeOnly4Distr2Same,small_purple_hairdryer,distractor,5,1,NA,NA,small_purple_hairdryer,distractor,1,4,NA,NA,small_pink_hairdryer,distractor,2,3,NA,NA,big_pink_hairdryer,target,3,2,NA,NA,small_pink_hairdryer,distractor,4,5,NA,NA,1,1,0,pink,,,,,TRUE,,,,,,,,,,,,,,,
3276-c,1.4489E+12,42,colorSizeTrial,colorOnly4Distr4Same,small_purple_coathanger,target,1,1,NA,NA,small_orange_coathanger,distractor,4,2,NA,NA,small_orange_coathanger,distractor,5,4,NA,NA,small_orange_coathanger,distractor,3,3,NA,NA,small_orange_coathanger,distractor,2,5,NA,NA,1,1,0,purple,,1.4489E+12,purple,FALSE,TRUE,FALSE,,,,,,,,small_purple_coathanger,NA,NA,,,,
3276-c,1.4489E+12,43,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,tent,target,3,3,house,place,garbagecan,distrClass3,4,4,NA,object,blackStimulus,NA,5,5,NA,NA,chive,distrClass3,2,2,NA,plant,1,1,0,tent,,1.4489E+12,tent,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,44,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_golfball,target,2,4,NA,NA,big_pink_golfball,distractor,3,3,NA,NA,small_pink_golfball,distractor,4,2,NA,NA,1,1,0,blue,,1.4489E+12,blue,FALSE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,45,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,laptop,distrClass2,3,4,NA,object,ambulance,target,2,2,vehicle,object,train,distrClass1,4,3,vehicle,object,1,1,0,ambulance,,1.4489E+12,ambulance,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,46,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,airplane,distrClass1,2,2,vehicle,object,boat,target,3,3,vehicle,object,record,distrClass2,4,4,NA,object,1,1,0,boat,,1.4489E+12,boat,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,47,colorSizeTrial,sizeOnly4Distr4Same,small_white_shoe,distractor,1,1,NA,NA,big_white_shoe,target,3,5,NA,NA,small_white_shoe,distractor,5,4,NA,NA,small_white_shoe,distractor,2,3,NA,NA,small_white_shoe,distractor,4,2,NA,NA,1,1,0,largest,,1.4489E+12,largest,TRUE,FALSE,FALSE,,,,,,,,small_white_shoe,NA,NA,,,,
3276-c,1.4489E+12,48,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,big_pink_framee,target,4,3,NA,NA,small_pink_framee,distractor,3,2,NA,NA,small_pink_framee,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,largest,,1.4489E+12,largest,TRUE,FALSE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,49,colorSizeTrial,sizeOnly4Distr1Same,small_blue_tack,target,5,1,NA,NA,big_red_tack,distractor,1,5,NA,NA,big_blue_tack,distractor,2,3,NA,NA,big_red_tack,distractor,4,2,NA,NA,big_red_tack,distractor,3,4,NA,NA,1,1,0,blue,,,,,TRUE,,,,,,,,,,,,,,,
3276-c,1.4489E+12,50,colorSizeTrial,colorOnly4Distr4Same,small_brown_turtle,target,2,1,NA,NA,small_black_turtle,distractor,4,5,NA,NA,small_black_turtle,distractor,3,2,NA,NA,small_black_turtle,distractor,5,4,NA,NA,small_black_turtle,distractor,1,3,NA,NA,1,1,0,tan or brown,,1.4489E+12,tan or brown,FALSE,TRUE,FALSE,,,,,,,,small_brown_turtle,NA,NA,,,,
3276-c,1.4489E+12,51,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,mosque,distrClass2,3,2,NA,place,cottage,target,4,4,house,place,blackStimulus,NA,5,5,NA,NA,rv,distrClass1,2,3,house,place,1,1,0,house,,1.4489E+12,house,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,52,colorSizeTrial,sizeOnly4Distr4Same,big_blue_candle,distractor,1,1,NA,NA,small_blue_candle,target,2,3,NA,NA,big_blue_candle,distractor,5,4,NA,NA,big_blue_candle,distractor,3,2,NA,NA,big_blue_candle,distractor,4,5,NA,NA,1,1,0,smallest,,1.4489E+12,smallest,TRUE,FALSE,FALSE,,,,,,,,big_blue_candle,NA,NA,,,,
3276-c,1.4489E+12,53,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,flamingo,distrClass3,2,4,NA,animal,anvil,distrClass2,4,3,NA,object,swimsuit,target,3,2,clothing,object,blackStimulus,NA,5,5,NA,NA,1,1,0,bathing suit,,1.4489E+12,bathing suit,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,54,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,bra,target,2,4,clothing,object,gloves,distrClass1,3,2,clothing,object,garbagecan,distrClass2,4,3,NA,object,blackStimulus,NA,5,5,NA,NA,1,1,0,bra,,1.4489E+12,bra,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,55,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,tennisball,distrClass2,2,3,NA,object,bookcase,target,4,2,furniture,object,cheese,distrClass3,3,4,NA,food,blackStimulus,NA,5,5,NA,NA,1,1,0,books,,1.4489E+12,books,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,56,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,baseballmitt,distrClass3,3,3,NA,object,laptop,distrClass3,4,2,NA,object,dalmatian,target,2,4,dog,animal,1,1,0,dog,,1.4489E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,57,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,kiwi,target,3,2,fruit,food,blackStimulus,NA,1,1,NA,NA,egg,distrClass2,4,4,NA,food,garbagecan,distrClass3,2,3,NA,object,1,1,0,fruit,,1.4489E+12,fruit,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,58,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,tulip,target,4,2,flower,plant,blackStimulus,NA,5,5,NA,NA,rosemary,distrClass2,2,4,NA,plant,cherryTree,distrClass2,3,3,NA,plant,1,1,0,tulip,,1.4489E+12,tulip,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,59,colorSizeTrial,sizeOnly4Distr2Same,small_pink_teacup,distractor,4,1,NA,NA,small_pink_teacup,distractor,2,5,NA,NA,small_white_teacup,distractor,1,2,NA,NA,big_white_teacup,target,3,4,NA,NA,small_white_teacup,distractor,5,3,NA,NA,1,1,0,white,,,,,TRUE,,,,,,,,,,,,,,,
3276-c,1.4489E+12,60,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,toilet,distrClass2,3,4,NA,object,clarinet,target,4,3,instrument,object,drum,distrClass1,2,2,instrument,object,1,1,0,music,,,,,,,,,,TRUE,,,,,,,,,,
3276-c,1.4489E+12,61,colorSizeTrial,colorOnly4Distr2Same,big_purple_billiardball,distractor,2,1,NA,NA,small_purple_billiardball,distractor,1,5,NA,NA,big_purple_billiardball,distractor,4,2,NA,NA,small_orange_billiardball,target,3,3,NA,NA,small_purple_billiardball,distractor,5,4,NA,NA,1,1,0,orange,,1.4489E+12,orange,FALSE,TRUE,FALSE,,,,,,,,big_purple_billiardball,NA,NA,,,,
3276-c,1.4489E+12,62,subSuperTrial,distr23,teddybear,distrClass2,2,2,NA,object,belt2,target,3,4,clothing,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,lion,distrClass3,4,3,NA,animal,1,1,0,belt,,1.4489E+12,belt,FALSE,FALSE,TRUE,,,,,,,,teddybear,NA,NA,,,,
3276-c,1.4489E+12,63,colorSizeTrial,colorOnly4Distr1Same,big_blue_ornament,distractor,1,1,NA,NA,big_blue_ornament,distractor,2,2,NA,NA,big_blue_ornament,distractor,5,4,NA,NA,small_purple_ornament,target,4,3,NA,NA,small_blue_ornament,distractor,3,5,NA,NA,1,1,0,red,,1.4489E+12,red,FALSE,TRUE,FALSE,,,,,,,,big_blue_ornament,NA,NA,,,,
3276-c,1.4489E+12,64,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,grapefruit,target,3,3,fruit,food,fries,distrClass2,2,4,NA,food,banana,distrClass1,4,2,fruit,food,blackStimulus,NA,5,5,NA,NA,1,1,0,grapefruit,,1.4489E+12,grapefruit,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,65,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,ketchup,distrClass2,3,3,NA,food,pineapple,target,4,4,fruit,food,blackStimulus,NA,5,5,NA,NA,cheese,distrClass2,2,2,NA,food,1,1,0,pineapple,,1.4489E+12,pineapple,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,66,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,sunflower,target,4,4,flower,plant,grasses,distrClass2,2,2,NA,plant,chive,distrClass2,3,3,NA,plant,blackStimulus,NA,5,5,NA,NA,1,1,0,flower,,1.4489E+12,flower,FALSE,FALSE,FALSE,,TRUE,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,67,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,big_red_stapler,target,3,4,NA,NA,small_red_stapler,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_stapler,distractor,2,2,NA,NA,1,1,0,biggest,,1.4489E+12,biggest,TRUE,FALSE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
