gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
8102-e,1.44899E+12,23,colorSizeTrial,sizeOnly4Distr3Same,big_green_rock,target,5,1,NA,NA,small_green_rock,distractor,2,3,NA,NA,small_green_rock,distractor,4,5,NA,NA,small_purple_rock,distractor,1,2,NA,NA,small_green_rock,distractor,3,4,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_green_rock,NA,NA,,,,
8102-e,1.44899E+12,24,subSuperTrial,distr23,lamp,target,2,2,furniture,object,blackStimulus,NA,5,5,NA,NA,record,distrClass2,4,4,NA,object,blackStimulus,NA,1,1,NA,NA,burger,distrClass3,3,3,NA,food,1,1,0,lamp,,1.44899E+12,lamp,FALSE,FALSE,TRUE,,,,,,,,lamp,NA,NA,,,,
8102-e,1.44899E+12,25,colorSizeTrial,colorOnly4Distr1Same,big_red_tack,target,5,2,NA,NA,big_blue_tack,distractor,2,1,NA,NA,small_blue_tack,distractor,3,5,NA,NA,small_blue_tack,distractor,4,3,NA,NA,small_blue_tack,distractor,1,4,NA,NA,1,1,0,red,,1.44899E+12,red,FALSE,TRUE,FALSE,,,,,,,,big_red_tack,NA,NA,,,,
8102-e,1.44899E+12,26,subSuperTrial,distr22,wardrobe,target,4,2,furniture,object,blackStimulus,NA,1,1,NA,NA,mailbox,distrClass2,3,3,NA,object,blackStimulus,NA,5,5,NA,NA,garbagecan,distrClass2,2,4,NA,object,1,1,0,armour,,1.44899E+12,armour,FALSE,FALSE,FALSE,TRUE,,,,,,,wardrobe,NA,NA,,,,
8102-e,1.44899E+12,27,subSuperTrial,distr33,trailer,target,4,4,house,place,horse,distrClass3,2,2,NA,animal,burger,distrClass3,3,3,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,cant spell,,,,,,,,,,,,,,,,,,,,
8102-e,1.44899E+12,28,colorSizeTrial,colorOnly4Distr1Same,big_red_bike,target,5,3,NA,NA,small_purple_bike,distractor,3,5,NA,NA,small_purple_bike,distractor,4,2,NA,NA,big_purple_bike,distractor,2,1,NA,NA,small_purple_bike,distractor,1,4,NA,NA,1,1,0,red,,1.44899E+12,red,FALSE,TRUE,FALSE,,,,,,,,big_red_bike,NA,NA,,,,
8102-e,1.44899E+12,29,subSuperTrial,distr23,eggplant,target,3,3,vegetable,food,mosque,distrClass3,2,4,NA,place,egg,distrClass2,4,2,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,eggplant,,1.44899E+12,eggplant,FALSE,FALSE,TRUE,,,,,,,,eggplant,NA,NA,,,,
8102-e,1.44899E+12,30,subSuperTrial,distr33,cottage,target,2,3,house,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,teddybear,distrClass3,4,2,NA,object,firemanhat,distrClass3,3,4,NA,object,1,1,0,house,,1.44899E+12,house,FALSE,FALSE,FALSE,,TRUE,,,,,,cottage,NA,NA,,,,
8102-e,1.44899E+12,31,subSuperTrial,distr22,swimsuit,target,4,2,clothing,object,blackStimulus,NA,1,1,NA,NA,binoculars,distrClass2,3,3,NA,object,blackStimulus,NA,5,5,NA,NA,crosswalksign,distrClass2,2,4,NA,object,1,1,0,suit,,1.44899E+12,suit,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,swimsuit,NA,NA,,,,
8102-e,1.44899E+12,32,colorSizeTrial,sizeOnly4Distr2Same,small_orange_cushion,target,2,5,NA,NA,big_blue_cushion,distractor,3,2,NA,NA,big_orange_cushion,distractor,5,3,NA,NA,big_orange_cushion,distractor,1,1,NA,NA,big_blue_cushion,distractor,4,4,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_orange_cushion,NA,NA,,,,
8102-e,1.44899E+12,33,subSuperTrial,distr33,sunflower,target,4,3,flower,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,rice,distrClass3,3,4,NA,food,firehydrant,distrClass3,2,2,NA,object,1,1,0,flower,,1.44899E+12,flower,FALSE,FALSE,FALSE,,TRUE,,,,,,sunflower,NA,NA,,,,
8102-e,1.44899E+12,34,subSuperTrial,distr22,grapefruit,target,2,2,fruit,food,hotdog,distrClass2,4,3,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,chocolate,distrClass2,3,4,NA,food,1,1,0,grapefruit,,1.44899E+12,grapefruit,FALSE,FALSE,TRUE,,,,,,,,grapefruit,NA,NA,,,,
8102-e,1.44899E+12,35,subSuperTrial,distr33,tent,target,4,3,house,place,rosemary,distrClass3,2,4,NA,plant,blackStimulus,NA,1,1,NA,NA,bambus,distrClass3,3,2,NA,plant,blackStimulus,NA,5,5,NA,NA,1,1,0,tent,,1.44899E+12,tent,FALSE,FALSE,TRUE,,,,,,,,tent,NA,NA,,,,
8102-e,1.44899E+12,36,colorSizeTrial,colorOnly4Distr4Same,small_pink_framee,target,1,2,NA,NA,small_green_framee,distractor,3,5,NA,NA,small_green_framee,distractor,4,3,NA,NA,small_green_framee,distractor,5,1,NA,NA,small_green_framee,distractor,2,4,NA,NA,1,1,0,pink,,1.44899E+12,pink,FALSE,TRUE,FALSE,,,,,,,,small_pink_framee,NA,NA,,,,
8102-e,1.44899E+12,37,colorSizeTrial,colorOnly4Distr3Same,big_purple_rug,target,3,2,NA,NA,big_blue_rug,distractor,5,4,NA,NA,small_blue_rug,distractor,1,3,NA,NA,big_blue_rug,distractor,4,1,NA,NA,big_blue_rug,distractor,2,5,NA,NA,1,1,0,purple,,1.44899E+12,purple,FALSE,TRUE,FALSE,,,,,,,,big_purple_rug,NA,NA,,,,
8102-e,1.44899E+12,38,subSuperTrial,distr33,dalmatian,target,4,3,dog,animal,blackStimulus,NA,5,5,NA,NA,pizza,distrClass3,2,4,NA,food,muffin,distrClass3,3,2,NA,food,blackStimulus,NA,1,1,NA,NA,1,1,0,dog,,1.44899E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,dalmatian,NA,NA,,,,
8102-e,1.44899E+12,39,subSuperTrial,distr22,banjo,target,4,2,instrument,object,blackStimulus,NA,1,1,NA,NA,firemanhat,distrClass2,2,3,NA,object,blackStimulus,NA,5,5,NA,NA,rubberduck,distrClass2,3,4,NA,object,1,1,0,banjo,,1.44899E+12,banjo,FALSE,FALSE,TRUE,,,,,,,,banjo,NA,NA,,,,
8102-e,1.44899E+12,40,colorSizeTrial,sizeOnly4Distr3Same,big_yellow_shoe,target,1,1,NA,NA,small_yellow_shoe,distractor,2,4,NA,NA,small_white_shoe,distractor,5,2,NA,NA,small_yellow_shoe,distractor,3,3,NA,NA,small_yellow_shoe,distractor,4,5,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_yellow_shoe,NA,NA,,,,
8102-e,1.44899E+12,41,colorSizeTrial,sizeOnly4Distr1Same,big_blue_candle,target,1,5,NA,NA,small_blue_candle,distractor,2,3,NA,NA,small_red_candle,distractor,5,4,NA,NA,small_red_candle,distractor,4,2,NA,NA,small_red_candle,distractor,3,1,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_blue_candle,NA,NA,,,,
8102-e,1.44899E+12,42,subSuperTrial,distr23,carrot,target,2,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,pancake,distrClass2,3,2,NA,food,blackStimulus,NA,1,1,NA,NA,bambus,distrClass3,4,3,NA,plant,1,1,0,carrot,,1.44899E+12,carrot,FALSE,FALSE,TRUE,,,,,,,,carrot,NA,NA,,,,
8102-e,1.44899E+12,43,subSuperTrial,distr12,corn,target,3,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,tomato,distrClass1,4,3,vegetable,food,sushi,distrClass2,2,2,NA,food,1,1,0,corn,,1.44899E+12,corn,FALSE,FALSE,TRUE,,,,,,,,corn,NA,NA,,,,
8102-e,1.44899E+12,44,subSuperTrial,distr22,daisy,target,2,2,flower,plant,blackStimulus,NA,5,5,NA,NA,pottedPlant,distrClass2,3,3,NA,plant,grasses,distrClass2,4,4,NA,plant,blackStimulus,NA,1,1,NA,NA,1,1,0,flower,,1.44899E+12,flower,FALSE,FALSE,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
8102-e,1.44899E+12,45,colorSizeTrial,sizeOnly4Distr1Same,small_green_jacket,target,5,5,NA,NA,big_green_jacket,distractor,3,3,NA,NA,big_brown_jacket,distractor,2,4,NA,NA,big_brown_jacket,distractor,4,1,NA,NA,big_brown_jacket,distractor,1,2,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_green_jacket,NA,NA,,,,
8102-e,1.44899E+12,46,colorSizeTrial,sizeOnly2Distr1Same,big_pink_teacup,target,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_teacup,distractor,4,2,NA,NA,small_white_teacup,distractor,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_pink_teacup,NA,NA,,,,
8102-e,1.44899E+12,47,colorSizeTrial,sizeOnly2Distr2Same,big_pink_weddingcake,target,2,2,NA,NA,small_pink_weddingcake,distractor,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_weddingcake,distractor,4,4,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_pink_weddingcake,NA,NA,,,,
8102-e,1.44899E+12,48,subSuperTrial,distr23,igloo,target,4,4,house,place,blackStimulus,NA,1,1,NA,NA,firestation,distrClass2,2,2,NA,place,cherryTree,distrClass3,3,3,NA,plant,blackStimulus,NA,5,5,NA,NA,1,1,0,igloo,,1.44899E+12,igloo,FALSE,FALSE,TRUE,,,,,,,,igloo,NA,NA,,,,
8102-e,1.44899E+12,49,colorSizeTrial,colorOnly2Distr2Same,small_pink_bucket,target,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_bucket,distractor,2,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_bucket,distractor,4,2,NA,NA,1,1,0,pink,,1.44899E+12,pink,FALSE,TRUE,FALSE,,,,,,,,small_pink_bucket,NA,NA,,,,
8102-e,1.44899E+12,50,colorSizeTrial,sizeOnly4Distr2Same,small_black_book,target,4,3,NA,NA,big_blue_book,distractor,5,5,NA,NA,big_blue_book,distractor,3,4,NA,NA,big_black_book,distractor,2,1,NA,NA,big_black_book,distractor,1,2,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_black_book,NA,NA,,,,
8102-e,1.44899E+12,51,subSuperTrial,distr23,bra,target,4,2,clothing,object,blackStimulus,NA,1,1,NA,NA,football,distrClass2,3,3,NA,object,blackStimulus,NA,5,5,NA,NA,bear,distrClass3,2,4,NA,animal,1,1,0,red,,1.44899E+12,red,FALSE,TRUE,FALSE,,,,,,,,bra,NA,NA,,,,
8102-e,1.44899E+12,52,colorSizeTrial,sizeOnly2Distr1Same,small_blue_ornament,target,3,2,NA,NA,big_purple_ornament,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_ornament,distractor,2,3,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_blue_ornament,NA,NA,,,,
8102-e,1.44899E+12,53,subSuperTrial,distr12,husky,target,4,4,dog,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bear,distrClass2,2,2,NA,animal,chihuahua,distrClass1,3,3,dog,animal,1,1,0,husky,,1.44899E+12,husky,FALSE,FALSE,TRUE,,,,,,,,husky,NA,NA,,,,
8102-e,1.44899E+12,54,colorSizeTrial,sizeOnly4Distr1Same,big_green_pepper,target,4,5,NA,NA,small_green_pepper,distractor,3,3,NA,NA,small_red_pepper,distractor,5,1,NA,NA,small_red_pepper,distractor,2,4,NA,NA,small_red_pepper,distractor,1,2,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_green_pepper,NA,NA,,,,
8102-e,1.44899E+12,55,subSuperTrial,distr12,boat,target,3,3,vehicle,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass1,4,4,vehicle,object,greekcolumn,distrClass2,2,2,NA,object,1,1,0,boat,,1.44899E+12,boat,FALSE,FALSE,TRUE,,,,,,,,boat,NA,NA,,,,
8102-e,1.44899E+12,56,colorSizeTrial,sizeOnly4Distr3Same,small_purple_butterfly,target,2,2,NA,NA,big_purple_butterfly,distractor,3,3,NA,NA,big_blue_butterfly,distractor,4,5,NA,NA,big_purple_butterfly,distractor,5,4,NA,NA,big_purple_butterfly,distractor,1,1,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_purple_butterfly,NA,NA,,,,
8102-e,1.44899E+12,57,colorSizeTrial,colorOnly2Distr1Same,small_black_belt,target,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_brown_belt,distractor,4,2,NA,NA,big_brown_belt,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,black,,1.44899E+12,black,FALSE,TRUE,FALSE,,,,,,,,small_black_belt,NA,NA,,,,
8102-e,1.44899E+12,58,subSuperTrial,distr12,piano,target,2,2,instrument,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,walkietalkie,distrClass2,3,3,NA,object,trumpet,distrClass1,4,4,instrument,object,1,1,0,piano,,1.44899E+12,piano,FALSE,FALSE,TRUE,,,,,,,,piano,NA,NA,,,,
8102-e,1.44899E+12,59,colorSizeTrial,sizeOnly4Distr4Same,small_green_chair,target,5,4,NA,NA,big_green_chair,distractor,1,3,NA,NA,big_green_chair,distractor,4,5,NA,NA,big_green_chair,distractor,3,2,NA,NA,big_green_chair,distractor,2,1,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_green_chair,NA,NA,,,,
8102-e,1.44899E+12,60,subSuperTrial,distr12,lime,target,4,2,fruit,food,blackStimulus,NA,1,1,NA,NA,orange,distrClass1,3,3,fruit,food,cookies,distrClass2,2,4,NA,food,blackStimulus,NA,5,5,NA,NA,1,1,0,green,,1.44899E+12,green,FALSE,TRUE,FALSE,,,,,,,,lime,NA,NA,,,,
8102-e,1.44899E+12,61,colorSizeTrial,sizeOnly4Distr4Same,small_red_toothbrush,target,4,4,NA,NA,big_red_toothbrush,distractor,1,3,NA,NA,big_red_toothbrush,distractor,2,5,NA,NA,big_red_toothbrush,distractor,5,1,NA,NA,big_red_toothbrush,distractor,3,2,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_red_toothbrush,NA,NA,,,,
8102-e,1.44899E+12,62,subSuperTrial,distr23,bathrobe,target,2,2,clothing,object,blackStimulus,NA,1,1,NA,NA,cigar,distrClass2,4,4,NA,object,horse,distrClass3,3,3,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,robe,,1.44899E+12,robe,FALSE,FALSE,TRUE,,,,,TRUE,,,bathrobe,NA,NA,,,,
8102-e,1.44899E+12,63,subSuperTrial,distr12,firetruck,target,2,4,vehicle,object,airplane,distrClass1,3,2,vehicle,object,blackStimulus,NA,5,5,NA,NA,moviecamera,distrClass2,4,3,NA,object,blackStimulus,NA,1,1,NA,NA,1,1,0,fire,,1.44899E+12,fire,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,firetruck,NA,NA,,,,
8102-e,1.44899E+12,64,colorSizeTrial,sizeOnly2Distr2Same,small_white_phone,target,4,3,NA,NA,big_white_phone,distractor,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_white_phone,distractor,2,2,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_white_phone,NA,NA,,,,
8102-e,1.44899E+12,65,colorSizeTrial,sizeOnly2Distr1Same,small_purple_stapler,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,big_red_stapler,distractor,3,4,NA,NA,big_purple_stapler,distractor,4,2,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_purple_stapler,NA,NA,,,,
