Item	Color	Modification	Typicality	CI.low	CI.high
shoe	white	unmodified	0.67125	0.55125	0.80125
shoe	yellow	modified	0.65	0.549964285714286	0.748154761904762
shoe	yellow	unmodified	0.486666666666667	0.344979166666667	0.620020833333333
stapler	purple	modified	0.772727272727273	0.672272727272727	0.862272727272727
stapler	purple	unmodified	0.702222222222222	0.544388888888889	0.848888888888889
stapler	red	modified	0.8605	0.770475	0.935025
stapler	red	unmodified	0.594444444444444	0.466472222222222	0.72
tack	blue	modified	0.794	0.71545	0.863
tack	blue	unmodified	0.875714285714286	0.79	0.9515
tack	red	modified	0.88	0.810464285714286	0.943357142857143
tack	red	unmodified	0.835	0.771666666666667	0.908333333333333
teacup	pink	modified	0.581111111111111	0.413819444444444	0.733902777777778
teacup	pink	unmodified	0.59	0.44175	0.724545454545455
teacup	white	modified	0.870952380952381	0.793797619047619	0.928571428571429
teacup	white	unmodified	0.912	0.821	0.975
toothbrush	blue	modified	0.848888888888889	0.776990740740741	0.905222222222222
toothbrush	blue	unmodified	0.801428571428571	0.635607142857143	0.937142857142857
toothbrush	red	modified	0.698947368421053	0.599473684210526	0.801065789473684
toothbrush	red	unmodified	0.617142857142857	0.4285	0.817214285714286
turtle	black	modified	0.664117647058823	0.505294117647059	0.808838235294118
turtle	black	unmodified	0.539	0.346975	0.732
turtle	brown	modified	0.826363636363636	0.753181818181818	0.886829545454545
turtle	brown	unmodified	0.807272727272727	0.720909090909091	0.9
weddingcake	pink	modified	0.760666666666667	0.661266666666667	0.849333333333333
weddingcake	pink	unmodified	0.443333333333333	0.291083333333333	0.568888888888889
weddingcake	white	modified	0.781739130434783	0.676065217391304	0.86304347826087
weddingcake	white	unmodified	0.745384615384615	0.61075	0.860057692307692
yarn	purple	modified	0.86	0.791340909090909	0.926386363636364
yarn	purple	unmodified	0.747	0.644	0.8551
yarn	red	modified	0.906	0.85495	0.948
yarn	red	unmodified	0.85	0.7375	0.9425
