"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"1136"	"1984-6"	1455302073359	25	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	4	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"lion"	"distractor"	2	2	NA	"animal"	"jelly"	""	"1455302072131"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1172"	"1897-b"	1455302123669	8	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"lamp"	"distractor"	2	4	NA	"furniture"	"pretzels"	"distractor"	4	3	NA	"snack"	"it is the jelly beans"	""	"1455302121346"	"it is the jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1228"	"9617-1"	1455302554571	53	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"firetruck"	"distractor"	2	2	NA	"vehicle"	"bed"	"distractor"	3	4	NA	"furniture"	"Jelly beans"	""	"1455302553068"	"Jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1249"	"1511-d"	1455302366650	26	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"motorcycle"	"distractor"	4	3	NA	"vehicle"	"bed"	"distractor"	3	2	NA	"furniture"	"jellybeans"	""	"1455302365051"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1292"	"6588-d"	1455302750315	35	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"popcorn"	"distractor"	2	3	NA	"snack"	"train"	"distractor"	4	4	NA	"vehicle"	"jelly beans"	""	"1455302748737"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1315"	"0585-7"	1455302369335	5	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	3	4	"candy"	"snack"	"elephant"	"distractor"	4	2	NA	"animal"	"wardrobe"	"distractor"	2	3	NA	"furniture"	"jellybeanz"	""	"1455302367716"	"jellybeanz"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1358"	"3747-d"	1455302518466	21	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"cookies"	"distractor"	4	2	NA	"snack"	"candyCorn"	"distractor"	3	3	"candy"	"snack"	"jellybeans"	""	"1455302517302"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1389"	"2785-6"	1455302618565	13	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"lamp"	"distractor"	3	2	NA	"furniture"	"rabbit"	"distractor"	2	4	NA	"animal"	"jellybeans"	""	"1455302617341"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1428"	"1448-1"	1455302722198	14	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	3	"candy"	"snack"	"candyCorn"	"distractor"	2	2	"candy"	"snack"	"popcorn"	"distractor"	4	4	NA	"snack"	"Jelly beans"	""	"1455302720157"	"Jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1484"	"2719-8"	1455302999992	53	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	2	3	"candy"	"snack"	"rosemary"	"distractor"	4	2	NA	"plant"	"cookies"	"distractor"	3	4	NA	"snack"	"beans"	""	"1455302998791"	"beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
