gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
1193,1897-b,1455302500331,47,subSuperTrial,basic33,coffeeTable,target,4,3,table,furniture,pretzels,distractor,3,2,NA,snack,train,distractor,2,4,NA,vehicle,table,,1455302497867,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1196,1897-b,1455302548552,52,subSuperTrial,basic22,diningTable,target,4,4,table,furniture,bookcase,distractor,3,3,NA,furniture,bed,distractor,2,2,NA,furniture,table,,1455302546095,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1207,9617-1,1455302261483,10,subSuperTrial,basic12,diningTable,target,2,3,table,furniture,wardrobe,distractor,3,2,NA,furniture,sideTable,distractor,4,4,table,furniture,Longer table,,1455302259331,Longer table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1251,1511-d,1455302387398,29,subSuperTrial,basic33,coffeeTable,target,3,2,table,furniture,elephant,distractor,4,4,NA,animal,ivy,distractor,2,3,NA,plant,table,,1455302386303,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1266,1511-d,1455302544329,57,subSuperTrial,basic23,diningTable,target,4,4,table,furniture,wardrobe,distractor,2,2,NA,furniture,chips,distractor,3,3,NA,snack,table,,1455302542647,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1268,1511-d,1455302553698,59,subSuperTrial,basic22,picnicTable,target,2,2,table,furniture,bookcase,distractor,3,4,NA,furniture,lamp,distractor,4,3,NA,furniture,table,,1455302551995,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1281,6588-d,1455302439397,14,subSuperTrial,basic33,coffeeTable,target,3,3,table,furniture,popcorn,distractor,2,2,NA,snack,rhino,distractor,4,4,NA,animal,wood table,,1455302436842,wood table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1283,6588-d,1455302526914,20,subSuperTrial,basic12,diningTable,target,4,3,table,furniture,lamp,distractor,3,2,NA,furniture,sideTable,distractor,2,4,table,furniture,long table,,1455302525045,long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1285,6588-d,1455302564197,23,subSuperTrial,basic33,picnicTable,target,2,2,table,furniture,bathrobe,distractor,4,4,NA,clothing,grasses,distractor,3,3,NA,plant,wood table,,1455302562653,wood table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1328,0585-7,1455302596308,35,subSuperTrial,basic12,coffeeTable,target,3,4,table,furniture,bed,distractor,2,2,NA,furniture,sideTable,distractor,4,3,table,furniture,low table,,1455302594282,low table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1329,0585-7,1455302605689,37,subSuperTrial,basic23,diningTable,target,3,3,table,furniture,wardrobe,distractor,4,4,NA,furniture,pottedPlant,distractor,2,2,NA,plant,table,,1455302604311,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1348,3747-d,1455302375612,1,subSuperTrial,basic23,coffeeTable,target,3,3,table,furniture,chips,distractor,4,2,NA,snack,wardrobe,distractor,2,4,NA,furniture,table,,1455302371485,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
