"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"89"	"4633-0"	1455301325130	36	"subSuperTrial"	"basic33"	"pandaBear"	"target"	3	3	"bear"	"animal"	"train"	"distractor"	2	4	NA	"vehicle"	"gloves"	"distractor"	4	2	NA	"clothing"	"panda"	""	"1455301323382"	"panda"	"pandaBear"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"4633-0"	1455301351045	39	"subSuperTrial"	"basic23"	"picnicTable"	"target"	4	4	"table"	"furniture"	"bookcase"	"distractor"	2	3	NA	"furniture"	"kitten"	"distractor"	3	2	NA	"animal"	"picnic table"	""	"1455301349365"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"4633-0"	1455301369197	41	"subSuperTrial"	"basic23"	"minivan"	"target"	2	2	"car"	"vehicle"	"pig"	"distractor"	4	4	NA	"animal"	"train"	"distractor"	3	3	NA	"vehicle"	"minivan"	""	"1455301367237"	"minivan"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"1997-d"	1455301066551	13	"subSuperTrial"	"basic23"	"dalmatian"	"target"	4	4	"dog"	"animal"	"popcorn"	"distractor"	2	3	NA	"snack"	"elephant"	"distractor"	3	2	NA	"animal"	"dalmation"	""	"1455301064853"	"dalmation"	"dalmatian"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"1997-d"	1455301253065	40	"subSuperTrial"	"basic12"	"bedsideTable"	"target"	3	2	"table"	"furniture"	"sideTable"	"distractor"	4	4	"table"	"furniture"	"lamp"	"distractor"	2	3	NA	"furniture"	"nightstand"	""	"1455301250069"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"122"	"1997-d"	1455301278812	45	"subSuperTrial"	"basic23"	"pandaBear"	"target"	3	4	"bear"	"animal"	"hamster"	"distractor"	4	2	NA	"animal"	"firetruck"	"distractor"	2	3	NA	"vehicle"	"panda"	""	"1455301277452"	"panda"	"pandaBear"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"1997-d"	1455301304751	49	"subSuperTrial"	"basic12"	"mnMs"	"target"	2	3	"candy"	"snack"	"candyCorn"	"distractor"	3	2	"candy"	"snack"	"pretzels"	"distractor"	4	4	NA	"snack"	"m&m"	""	"1455301303213"	"m&m"	"mnMs"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"1997-d"	1455301437058	68	"subSuperTrial"	"basic12"	"husky"	"target"	3	2	"dog"	"animal"	"elephant"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	2	3	"dog"	"animal"	"husky"	""	"1455301435351"	"husky"	"husky"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"1997-d"	1455301459012	71	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	3	2	"dog"	"animal"	"elephant"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	2	3	"dog"	"animal"	"husky"	""	"1455301456901"	"husky"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"8691-5"	1455300991144	4	"subSuperTrial"	"basic23"	"rose"	"target"	4	3	"flower"	"plant"	"pretzels"	"distractor"	2	4	NA	"snack"	"grasses"	"distractor"	3	2	NA	"plant"	"rose"	""	"1455300989627"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
