gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
601,5222-f,1455301704825,68,subSuperTrial,basic22,daisy,target,2,4,flower,plant,pottedPlant,distractor,4,2,NA,plant,grasses,distractor,3,3,NA,plant,flower,,1455301703309,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
657,5895-f,1455301371634,4,subSuperTrial,basic12,tulip,target,3,4,flower,plant,grasses,distractor,2,2,NA,plant,lily,distractor,4,3,flower,plant,red flower,,1455301365172,red flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
686,5895-f,1455301997822,62,subSuperTrial,basic33,sunflower,target,2,4,flower,plant,chips,distractor,3,2,NA,snack,bison,distractor,4,3,NA,animal,flower,,1455301996560,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
691,3084-5,1455301404894,1,subSuperTrial,basic23,sunflower,target,2,3,flower,plant,pottedPlant,distractor,3,4,NA,plant,chips,distractor,4,2,NA,snack,Hey there__ the object is a yellow flower,Hello,1455301385851,NA,sunflower,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
744,3197-1,1455301699914,36,subSuperTrial,basic23,daisy,target,4,3,flower,plant,pottedPlant,distractor,3,2,NA,plant,elephant,distractor,2,4,NA,animal,white flower,,1455301697998,white flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
757,3197-1,1455301891182,61,subSuperTrial,basic23,sunflower,target,2,4,flower,plant,lion,distractor,4,2,NA,animal,rosemary,distractor,3,3,NA,plant,flower,,1455301889404,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
759,3197-1,1455301948348,67,subSuperTrial,basic33,tulip,target,3,4,flower,plant,ambulance,distractor,2,3,NA,vehicle,gloves,distractor,4,2,NA,clothing,flower,,1455301947168,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
773,5611-0,1455301612268,26,subSuperTrial,basic33,daisy,target,3,2,flower,plant,sheep,distractor,4,3,NA,animal,chips,distractor,2,4,NA,snack,flower,,1455301611288,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
777,5611-0,1455301631222,31,subSuperTrial,basic33,sunflower,target,4,3,flower,plant,lamp,distractor,2,4,NA,furniture,gloves,distractor,3,2,NA,clothing,flower,,1455301630450,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
835,9554-c,1455301588963,3,subSuperTrial,basic23,daisy,target,3,3,flower,plant,rosemary,distractor,2,2,NA,plant,lobster,distractor,4,4,NA,animal,flower,,1455301587745,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
842,9554-c,1455301632583,11,subSuperTrial,basic22,rose,target,3,2,flower,plant,grasses,distractor,4,4,NA,plant,rosemary,distractor,2,3,NA,plant,flower,,1455301631413,flower,rose,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
849,9554-c,1455301765373,33,subSuperTrial,basic33,sunflower,target,3,3,flower,plant,lobster,distractor,2,2,NA,animal,bathrobe,distractor,4,4,NA,clothing,flower,,1455301764284,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
874,8344-c,1455301692115,7,subSuperTrial,basic23,tulip,target,4,3,flower,plant,grasses,distractor,3,4,NA,plant,bed,distractor,2,2,NA,furniture,red flower,,1455301690066,red flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
877,8344-c,1455301717078,11,subSuperTrial,basic33,daisy,target,4,4,flower,plant,pig,distractor,3,3,NA,animal,pretzels,distractor,2,2,NA,snack,flower,,1455301715214,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
941,3908-9,1455302450628,70,subSuperTrial,basic33,rose,target,2,4,flower,plant,kitten,distractor,4,2,NA,animal,bed,distractor,3,3,NA,furniture,I love you flower,,1455302448188,I love you flower,rose,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
990,7949-f,1455301892894,24,subSuperTrial,basic33,daisy,target,4,3,flower,plant,bathrobe,distractor,3,2,NA,clothing,lion,distractor,2,4,NA,animal,flow,,1455301891402,flow,daisy,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1021,0071-5,1455301983482,10,subSuperTrial,basic23,daisy,target,4,3,flower,plant,pottedPlant,distractor,3,2,NA,plant,squirrel,distractor,2,4,NA,animal,pretty flower,,1455301981983,pretty flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1025,0071-5,1455302090978,17,subSuperTrial,basic33,tulip,target,3,3,flower,plant,train,distractor,4,4,NA,vehicle,pig,distractor,2,2,NA,animal,flower,,1455302088944,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
