nameClickedObj,condition,DistractorCombo
pandabear,distr22,kitten pig
pigeon,distr22,pig rhino
goldfish,distr22,iguana pig
jellybeans,distr22,popcorn pretzels
daisy,distr22,pottedPlant rosemary
sunflower,distr22,ivy pottedPlant
mnms,distr22,chips pretzels
clownfish,distr22,bison rabbit
hummingbird,distr22,horse rabbit
dalmatian,distr22,bison rhino
blackbear,distr22,elephant sheep
blackbear,distr22,iguana sheep
catfish,distr22,kitten snake
tshirt,distr22,dress socks
blackbear,distr22,kitten squirrel
pandabear,distr22,rabbit squirrel
dalmatian,distr22,sheep squirrel
catfish,distr22,chick squirrel
pigeon,distr22,elephant squirrel
picnictable,distr22,bookcase wardrobe
diningtable,distr22,lamp wardrobe
picnictable,distr22,bed bookcase
diningtable,distr22,bookcase lamp
catfish,distr22,bison chick
mnms,distr22,chips popcorn
jellybeans,distr22,chips popcorn
gummybears,distr22,chips pretzels
jellybeans,distr22,chips pretzels
jellybeans,distr22,cookies popcorn
skittles,distr22,cookies pretzels
parrot,distr22,cow snake
hummingbird,distr22,bison crocodile
hummingbird,distr22,crocodile kitten
hummingbird,distr22,crocodile rabbit
hummingbird,distr12,chick crocodile
poloshirt,distr22,bathrobe dress
grizzlybear,distr22,elephant kitten
swordfish,distr22,elephant lion
eagle,distr22,elephant sheep
dalmatian,distr22,crocodile elephant
eagle,distr22,elephant snake
hummingbird,distr22,elephant snake
sportscar,distr22,ambulance firetruck
suv,distr22,ambulance firetruck
minivan,distr22,firetruck train
poloshirt,distr22,bathrobe gloves
tshirt,distr22,bathrobe gloves
tshirt,distr22,dress gloves
daisy,distr22,grasses ivy
catfish,distr22,chick horse
germanshepherd,distr22,iguana kitten
rose,distr22,grasses ivy
pandabear,distr22,kitten rabbit
clownfish,distr22,kitten lobster
diningtable,distr22,bed lamp
picnictable,distr22,lamp wardrobe
pigeon,distr22,iguana lion
grizzlybear,distr22,lion squirrel
germanshepherd,distr22,lobster squirrel
minivan,distr22,firetruck motorcycle
dalmatian,distr22,lobster pig
swordfish,distr22,lobster pig
blackbear,distr22,iguana pig
skittles,distr22,popcorn pretzels
mnms,distr22,popcorn pretzels
gummybears,distr22,cookies pretzels
jellybeans,distr22,cookies pretzels
gummybears,distr22,popcorn pretzels
pug,distr22,bison rabbit
blackbear,distr22,cow rabbit
pigeon,distr22,lobster rabbit
grizzlybear,distr22,rabbit sheep
polarbear,distr22,elephant rhino
germanshepherd,distr22,horse rhino
germanshepherd,distr22,elephant rhino
rose,distr22,grasses rosemary
tulip,distr22,ivy rosemary
clownfish,distr22,cow sheep
clownfish,distr22,elephant sheep
pug,distr22,iguana sheep
pandabear,distr22,sheep squirrel
grizzlybear,distr22,iguana snake
parrot,distr22,sheep snake
dalmatian,distr22,cow snake
goldfish,distr22,chick snake
husky,distr22,crocodile snake
parrot,distr22,rhino snake
pandabear,distr22,rhino snake
eagle,distr22,bison squirrel
husky,distr22,chick squirrel
convertible,distr22,ambulance train
germanshepherd,distr23,ambulance lion
sportscar,distr23,ambulance lion
polarbear,distr23,ambulance rhino
suv,distr23,ambulance sheep
dressshirt,distr23,ambulance bathrobe
hawaiishirt,distr23,bathrobe bison
goldfish,distr23,bathrobe bison
tshirt,distr23,bathrobe rhino
tshirt,distr23,bathrobe grasses
pug,distr23,bathrobe kitten
poloshirt,distr23,bathrobe pretzels
convertible,distr23,bathrobe firetruck
dressshirt,distr23,bathrobe horse
eagle,distr23,bathrobe pig
diningtable,distr23,bathrobe wardrobe
bedsidetable,distr23,ambulance bed
pandabear,distr23,bed horse
bedsidetable,distr23,bed dress
parrot,distr23,bed pig
hummingbird,distr23,bison bookcase
grizzlybear,distr23,ambulance elephant
poloshirt,distr23,bathrobe cookies
parrot,distr23,bathrobe iguana
convertible,distr23,bathrobe train
hummingbird,distr12,bed chick
germanshepherd,distr23,bed pig
grizzlybear,distr23,bed sheep
diningtable,distr23,bed snake
convertible,distr23,bison firetruck
poloshirt,distr23,bison socks
coffeetable,distr23,bison bookcase
coffeetable,distr23,bison wardrobe
parrot,distr23,ambulance cow
hawaiishirt,distr23,bathrobe lamp
blackbear,distr23,bed cow
bedsidetable,distr23,bed horse
mnms,distr23,chick pretzels
sunflower,distr23,cookies rosemary
parrot,distr23,dress sheep
jellybeans,distr23,cookies firetruck
sportscar,distr23,cookies firetruck
tulip,distr23,lamp rosemary
hummingbird,distr23,chips lion
tshirt,distr23,dress lion
sunflower,distr23,lion pottedPlant
minivan,distr23,motorcycle pretzels
hummingbird,distr23,pig pretzels
parrot,distr23,pig rosemary
parrot,distr23,elephant popcorn
dressshirt,distr23,gloves pretzels
hawaiishirt,distr23,pretzels socks
daisy,distr23,horse rosemary
pigeon,distr23,pig rosemary
daisy,distr23,grasses snake
sunflower,distr23,pottedPlant socks
pigeon,distr23,kitten train
blackbear,distr23,rabbit train
mnms,distr23,chick popcorn
dalmatian,distr23,chick dress
husky,distr23,chick lamp
jellybeans,distr23,bed cookies
dressshirt,distr23,cookies gloves
rose,distr23,cow grasses
grizzlybear,distr23,crocodile dress
hawaiishirt,distr23,dress rhino
sportscar,distr23,elephant train
pandabear,distr23,bookcase elephant
suv,distr23,elephant firetruck
tulip,distr23,firetruck grasses
polarbear,distr23,chick grasses
bedsidetable,distr23,bookcase horse
husky,distr23,cookies iguana
germanshepherd,distr23,iguana lamp
sunflower,distr23,lamp pottedPlant
bedsidetable,distr23,lamp pottedPlant
hawaiishirt,distr23,lamp socks
catfish,distr23,lobster pretzels
sportscar,distr23,lobster train
tshirt,distr23,dress motorcycle
pandabear,distr23,dress pig
husky,distr23,crocodile popcorn
mnms,distr23,popcorn sheep
coffeetable,distr23,popcorn wardrobe
clownfish,distr23,bison pottedPlant
skittles,distr23,bison pretzels
jellybeans,distr23,lobster pretzels
mnms,distr23,pretzels rhino
gummybears,distr23,lamp pretzels
grizzlybear,distr23,bookcase rabbit
swordfish,distr23,cookies rhino
rose,distr23,bathrobe rosemary
swordfish,distr23,chick rosemary
husky,distr23,motorcycle sheep
rose,distr23,rosemary sheep
grizzlybear,distr23,gloves snake
suv,distr23,squirrel train
swordfish,distr23,lion train
convertible,distr23,pottedPlant train
eagle,distr23,rabbit train
picnictable,distr23,ivy wardrobe
picnictable,distr23,crocodile wardrobe
poloshirt,distr23,bathrobe bookcase
bedsidetable,distr23,bison bookcase
picnictable,distr23,bookcase cookies
clownfish,distr23,bookcase kitten
bedsidetable,distr23,bookcase iguana
polarbear,distr23,chips rabbit
tulip,distr23,chips ivy
eagle,distr23,cookies snake
convertible,distr23,cookies motorcycle
convertible,distr23,cookies firetruck
swordfish,distr23,cookies pig
gummybears,distr23,cookies rabbit
dressshirt,distr23,bathrobe cow
diningtable,distr23,cow wardrobe
dalmatian,distr23,cow ivy
polarbear,distr23,cow ivy
suv,distr23,ambulance crocodile
clownfish,distr23,bed crocodile
minivan,distr23,crocodile train
germanshepherd,distr23,crocodile gloves
coffeetable,distr23,crocodile wardrobe
dressshirt,distr23,dress lion
skittles,distr23,dress pretzels
dressshirt,distr23,dress train
tshirt,distr23,dress train
diningtable,distr23,bed elephant
polarbear,distr23,ambulance elephant
minivan,distr23,firetruck iguana
rose,distr23,firetruck ivy
hummingbird,distr23,firetruck rhino
convertible,distr23,firetruck iguana
grizzlybear,distr23,firetruck sheep
hawaiishirt,distr23,bed gloves
poloshirt,distr23,gloves ivy
tshirt,distr23,gloves rabbit
polarbear,distr23,horse lamp
diningtable,distr23,bookcase iguana
jellybeans,distr23,chips iguana
blackbear,distr23,gloves iguana
tulip,distr23,ivy rabbit
sunflower,distr23,ivy rhino
rose,distr23,ivy kitten
skittles,distr23,ivy pretzels
polarbear,distr23,bathrobe kitten
hummingbird,distr23,bookcase kitten
parrot,distr23,ivy kitten
tulip,distr23,kitten rosemary
picnictable,distr23,cookies lamp
tshirt,distr23,lamp socks
coffeetable,distr23,crocodile lamp
diningtable,distr23,elephant lamp
swordfish,distr23,lamp lion
dalmatian,distr23,lion train
pandabear,distr23,gloves lobster
clownfish,distr23,lobster socks
mnms,distr23,cookies lobster
sportscar,distr23,motorcycle rhino
dressshirt,distr23,bathrobe pig
catfish,distr23,lamp pig
hawaiishirt,distr23,pig socks
pug,distr23,pig pottedPlant
clownfish,distr23,grasses pig
pandabear,distr23,pig pottedPlant
hummingbird,distr23,popcorn rhino
skittles,distr23,popcorn squirrel
mnms,distr23,iguana popcorn
jellybeans,distr23,popcorn train
bedsidetable,distr23,bookcase popcorn
sunflower,distr23,dress pottedPlant
pug,distr23,iguana pottedPlant
gummybears,distr23,ambulance pretzels
tshirt,distr23,dress pretzels
gummybears,distr23,horse pretzels
convertible,distr23,firetruck rabbit
gummybears,distr23,chips rhino
eagle,distr23,lamp rhino
sunflower,distr23,iguana rosemary
pigeon,distr23,lobster rosemary
clownfish,distr23,rhino rosemary
sunflower,distr23,dress rosemary
parrot,distr23,lobster rosemary
eagle,distr23,pig rosemary
grizzlybear,distr23,lamp sheep
pug,distr23,ivy sheep
minivan,distr23,motorcycle snake
hawaiishirt,distr23,firetruck socks
jellybeans,distr23,pretzels socks
hawaiishirt,distr23,lobster socks
hawaiishirt,distr23,snake socks
swordfish,distr23,kitten socks
