condition,target,domain,priorWeight,label,prob
item22,rose,flower,0.005,type,0.4296
item22,rose,flower,0.005,basicLevel,0.4267
item22,rose,flower,0.005,superDomain,0.1438
item22,tulip,flower,0.005,type,0.4245
item22,tulip,flower,0.005,basicLevel,0.4304
item22,tulip,flower,0.005,superDomain,0.145
item22,daisy,flower,0.005,type,0.4259
item22,daisy,flower,0.005,basicLevel,0.4294
item22,daisy,flower,0.005,superDomain,0.1447
item22,sunflower,flower,0.005,type,0.4202
item22,sunflower,flower,0.005,basicLevel,0.4337
item22,sunflower,flower,0.005,superDomain,0.1461
item23,rose,flower,0.005,type,0.4007
item23,rose,flower,0.005,basicLevel,0.3981
item23,rose,flower,0.005,superDomain,0.2012
item23,tulip,flower,0.005,type,0.3958
item23,tulip,flower,0.005,basicLevel,0.4013
item23,tulip,flower,0.005,superDomain,0.2028
item23,daisy,flower,0.005,type,0.3971
item23,daisy,flower,0.005,basicLevel,0.4005
item23,daisy,flower,0.005,superDomain,0.2024
item23,sunflower,flower,0.005,type,0.3916
item23,sunflower,flower,0.005,basicLevel,0.4042
item23,sunflower,flower,0.005,superDomain,0.2043
item33,rose,flower,0.005,type,0.3336
item33,rose,flower,0.005,basicLevel,0.3314
item33,rose,flower,0.005,superDomain,0.335
item33,tulip,flower,0.005,type,0.3291
item33,tulip,flower,0.005,basicLevel,0.3336
item33,tulip,flower,0.005,superDomain,0.3373
item33,daisy,flower,0.005,type,0.3303
item33,daisy,flower,0.005,basicLevel,0.333
item33,daisy,flower,0.005,superDomain,0.3367
item33,sunflower,flower,0.005,type,0.3251
item33,sunflower,flower,0.005,basicLevel,0.3356
item33,sunflower,flower,0.005,superDomain,0.3393
item12,poloShirt,shirt,0.005,type,0.5359
item12,poloShirt,shirt,0.005,basicLevel,0.2801
item12,poloShirt,shirt,0.005,superDomain,0.184
item12,dressShirt,shirt,0.005,type,0.5346
item12,dressShirt,shirt,0.005,basicLevel,0.2808
item12,dressShirt,shirt,0.005,superDomain,0.1845
item12,hawaiiShirt,shirt,0.005,type,0.5255
item12,hawaiiShirt,shirt,0.005,basicLevel,0.2863
item12,hawaiiShirt,shirt,0.005,superDomain,0.1881
item12,tShirt,shirt,0.005,type,0.539
item12,tShirt,shirt,0.005,basicLevel,0.2782
item12,tShirt,shirt,0.005,superDomain,0.1828
item22,poloShirt,shirt,0.005,type,0.4186
item22,poloShirt,shirt,0.005,basicLevel,0.4376
item22,poloShirt,shirt,0.005,superDomain,0.1438
item22,dressShirt,shirt,0.005,type,0.4174
item22,dressShirt,shirt,0.005,basicLevel,0.4385
item22,dressShirt,shirt,0.005,superDomain,0.1441
item22,hawaiiShirt,shirt,0.005,type,0.4085
item22,hawaiiShirt,shirt,0.005,basicLevel,0.4452
item22,hawaiiShirt,shirt,0.005,superDomain,0.1463
item22,tShirt,shirt,0.005,type,0.4217
item22,tShirt,shirt,0.005,basicLevel,0.4353
item22,tShirt,shirt,0.005,superDomain,0.143
item23,poloShirt,shirt,0.005,type,0.3905
item23,poloShirt,shirt,0.005,basicLevel,0.4083
item23,poloShirt,shirt,0.005,superDomain,0.2012
item23,dressShirt,shirt,0.005,type,0.3894
item23,dressShirt,shirt,0.005,basicLevel,0.4091
item23,dressShirt,shirt,0.005,superDomain,0.2016
item23,hawaiiShirt,shirt,0.005,type,0.3807
item23,hawaiiShirt,shirt,0.005,basicLevel,0.4149
item23,hawaiiShirt,shirt,0.005,superDomain,0.2044
item23,tShirt,shirt,0.005,type,0.3936
item23,tShirt,shirt,0.005,basicLevel,0.4062
item23,tShirt,shirt,0.005,superDomain,0.2002
item33,poloShirt,shirt,0.005,type,0.3251
item33,poloShirt,shirt,0.005,basicLevel,0.3399
item33,poloShirt,shirt,0.005,superDomain,0.335
item33,dressShirt,shirt,0.005,type,0.324
item33,dressShirt,shirt,0.005,basicLevel,0.3404
item33,dressShirt,shirt,0.005,superDomain,0.3355
item33,hawaiiShirt,shirt,0.005,type,0.3161
item33,hawaiiShirt,shirt,0.005,basicLevel,0.3445
item33,hawaiiShirt,shirt,0.005,superDomain,0.3395
item33,tShirt,shirt,0.005,type,0.3279
item33,tShirt,shirt,0.005,basicLevel,0.3385
item33,tShirt,shirt,0.005,superDomain,0.3336
item12,coffeeTable,table,0.005,type,0.5343
item12,coffeeTable,table,0.005,basicLevel,0.2832
item12,coffeeTable,table,0.005,superDomain,0.1825
item12,diningTable,table,0.005,type,0.5335
item12,diningTable,table,0.005,basicLevel,0.2837
item12,diningTable,table,0.005,superDomain,0.1828
item12,picnicTable,table,0.005,type,0.5334
item12,picnicTable,table,0.005,basicLevel,0.2838
item12,picnicTable,table,0.005,superDomain,0.1828
item12,bedsideTable,table,0.005,type,0.5319
item12,bedsideTable,table,0.005,basicLevel,0.2847
item12,bedsideTable,table,0.005,superDomain,0.1834
item22,coffeeTable,table,0.005,type,0.4164
item22,coffeeTable,table,0.005,basicLevel,0.4414
item22,coffeeTable,table,0.005,superDomain,0.1422
item22,diningTable,table,0.005,type,0.4156
item22,diningTable,table,0.005,basicLevel,0.442
item22,diningTable,table,0.005,superDomain,0.1424
item22,picnicTable,table,0.005,type,0.4155
item22,picnicTable,table,0.005,basicLevel,0.4421
item22,picnicTable,table,0.005,superDomain,0.1424
item22,bedsideTable,table,0.005,type,0.4141
item22,bedsideTable,table,0.005,basicLevel,0.4432
item22,bedsideTable,table,0.005,superDomain,0.1428
item23,coffeeTable,table,0.005,type,0.3887
item23,coffeeTable,table,0.005,basicLevel,0.4121
item23,coffeeTable,table,0.005,superDomain,0.1991
item23,diningTable,table,0.005,type,0.3879
item23,diningTable,table,0.005,basicLevel,0.4127
item23,diningTable,table,0.005,superDomain,0.1994
item23,picnicTable,table,0.005,type,0.3879
item23,picnicTable,table,0.005,basicLevel,0.4127
item23,picnicTable,table,0.005,superDomain,0.1994
item23,bedsideTable,table,0.005,type,0.3865
item23,bedsideTable,table,0.005,basicLevel,0.4137
item23,bedsideTable,table,0.005,superDomain,0.1999
item33,coffeeTable,table,0.005,type,0.3242
item33,coffeeTable,table,0.005,basicLevel,0.3437
item33,coffeeTable,table,0.005,superDomain,0.3321
item33,diningTable,table,0.005,type,0.3235
item33,diningTable,table,0.005,basicLevel,0.3441
item33,diningTable,table,0.005,superDomain,0.3325
item33,picnicTable,table,0.005,type,0.3234
item33,picnicTable,table,0.005,basicLevel,0.3441
item33,picnicTable,table,0.005,superDomain,0.3325
item33,bedsideTable,table,0.005,type,0.3221
item33,bedsideTable,table,0.005,basicLevel,0.3448
item33,bedsideTable,table,0.005,superDomain,0.3332
