Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
banana,yellow,green_pepper,yellow banana,0.05,0.0114285714285714,0.110035714285714
banana,yellow,green_tomato,yellow banana,0.014,0.00125,0.03375
banana,yellow,orange_carrot,yellow banana,0.036,0.00636363636363636,0.0791136363636363
banana,yellow,orange_pear,yellow banana,0.005,0,0.01
banana,yellow,orange_pepper,yellow banana,0.014,0.00428571428571429,0.0257142857142857
banana,yellow,pink_carrot,yellow banana,0.021,0.00272727272727273,0.0518409090909091
banana,yellow,pink_tomato,yellow banana,0.012,0.00375,0.023125
banana,yellow,red_apple,yellow banana,0.035,0.005,0.085
banana,yellow,red_avocado,yellow banana,0.006,0,0.01625
banana,yellow,red_pepper,yellow banana,0.013,0.00538461538461538,0.0215384615384615
banana,yellow,red_tomato,yellow banana,0.02,0.00166666666666667,0.0483333333333333
banana,yellow,yellow_banana,yellow banana,0.972,0.944479885057471,0.988278735632184
banana,yellow,yellow_pear,yellow banana,0.051,0.0075,0.11878125
carrot,brown,black_avocado,brown carrot,0,0,0
carrot,brown,black_pepper,brown carrot,0.035,0.00833333333333333,0.0633333333333333
carrot,brown,blue_apple,brown carrot,0.025,0.00727272727272727,0.0509090909090909
carrot,brown,blue_banana,brown carrot,0.013,0.005,0.021
carrot,brown,brown_banana,brown carrot,0.011,0.00357142857142857,0.0192857142857143
carrot,brown,brown_carrot,brown carrot,0.892,0.844586206896552,0.927252873563218
carrot,brown,green_apple,brown carrot,0.065,0.00461538461538462,0.178461538461538
carrot,brown,green_avocado,brown carrot,0.017,0,0.04
carrot,brown,green_pear,brown carrot,0.027,0.002,0.069
carrot,brown,green_pepper,brown carrot,0.018,0.00333333333333333,0.0344444444444444
carrot,brown,green_tomato,brown carrot,0.009,0.00111111111111111,0.02
carrot,brown,orange_carrot,brown carrot,0.27,0.219873563218391,0.31942816091954
carrot,brown,orange_pear,brown carrot,0.044,0.006,0.098
carrot,brown,orange_pepper,brown carrot,0.102,0.028975,0.187025
carrot,brown,pink_carrot,brown carrot,0.18,0.142066091954023,0.223715517241379
carrot,brown,pink_tomato,brown carrot,0.023,0.005,0.047025
carrot,brown,red_apple,brown carrot,0.004,0,0.0111111111111111
carrot,brown,red_avocado,brown carrot,0.02,0.00625,0.036890625
carrot,brown,red_pepper,brown carrot,0.015,0,0.035
carrot,brown,red_tomato,brown carrot,0.061,0.0157142857142857,0.112892857142857
carrot,brown,yellow_banana,brown carrot,0.005,0,0.012
carrot,brown,yellow_pear,brown carrot,0.091,0.0214285714285714,0.1815
carrot,orange,black_avocado,orange carrot,0.023,0.0025,0.0475
carrot,orange,black_pepper,orange carrot,0.02,0,0.05
carrot,orange,blue_apple,orange carrot,0.027,0.00714285714285714,0.0514285714285714
carrot,orange,blue_banana,orange carrot,0.048,0.014975,0.087
carrot,orange,brown_banana,orange carrot,0.01,0.00111111111111111,0.0233333333333333
carrot,orange,brown_carrot,orange carrot,0.28,0.228956896551724,0.331844827586207
carrot,orange,green_apple,orange carrot,0.012,0.00222222222222222,0.0233611111111111
carrot,orange,green_avocado,orange carrot,0.024,0.00272727272727273,0.0509090909090909
carrot,orange,green_pear,orange carrot,0.027,0.00666666666666666,0.0511111111111111
carrot,orange,green_pepper,orange carrot,0.013,0.00545454545454545,0.0209090909090909
carrot,orange,green_tomato,orange carrot,0.019,0.00330555555555556,0.0389166666666666
carrot,orange,orange_carrot,orange carrot,0.971,0.946422413793103,0.988623563218391
carrot,orange,orange_pear,orange carrot,0.066,0.005,0.1775
carrot,orange,orange_pepper,orange carrot,0.061,0.0171428571428571,0.111446428571429
carrot,orange,pink_carrot,orange carrot,0.191,0.150227011494253,0.235675287356322
carrot,orange,pink_tomato,orange carrot,0.013,0.00285714285714286,0.0264285714285714
carrot,orange,red_apple,orange carrot,0.037,0,0.085
carrot,orange,red_avocado,orange carrot,0.066,0.01,0.164
carrot,orange,red_pepper,orange carrot,0.014,0.002,0.028
carrot,orange,red_tomato,orange carrot,0.163,0,0.448571428571429
